"gene set","p-value","fdr"
"Plant hormone signal transduction","0.0236313490947351      .","0.418541499674315      ."
"Pyruvate metabolism","0.0256217368452469      .","0.418541499674315      ."
"Transporter catalog - Porters cat 7 to 17","0.0256217368452469      .","0.418541499674315      ."
"Carbohydrate metabolism - Glycolysis","0.0277505927510355      .","0.418541499674315      ."
"Lipid biosynthesis protein - Component type","0.0300248410427652      .","0.418541499674315      ."
"Ascorbate and aldarate metabolism","0.0350377692966706      .","0.418541499674315      ."
"Carbon fixation in photosynthetic organisms","0.0350377692966706      .","0.418541499674315      ."
"Pentose phosphate pathway","0.0350377692966706      .","0.418541499674315      ."
"Starch and sucrose metabolism","0.0350377692966706      .","0.418541499674315      ."
"Carbohydrate metabolism - Pentose phosphate","0.0350377692966706      .","0.418541499674315      ."
"Phenylpropanoid biosynthesis","0.0377907990995178      .","0.431703476707532      ."
"Enzyme - 1.17  Acting on CH or CH2 groups","0.0377907990995178      .","0.431703476707532      ."
"Protein - Macropinocytosis","0.0377907990995178      .","0.431703476707532      ."
"Energy metabolism - Photosynthesis","0.0407178795524944      .","0.431703476707532      ."
"SLC35: Nucleoside-sugar transporter","0.0438263120463228      .","0.431703476707532      ."
"Cofactors and vitamin metabolism - Riboflavin metabolism","0.0438263120463228      .","0.431703476707532      ."
"Flavonoid biosynthesis","0.0471234054835504      .","0.431703476707532      ."
"Selenocompound metabolism","0.0471234054835504      .","0.431703476707532      ."
"Enzyme - 5.4  Intramolecular transferases","0.0471234054835504      .","0.431703476707532      ."
"Cutin suberine and wax biosynthesis","0.0506164498649696      .","0.431703476707532      ."
"Carbohydrate metabolism - Inositol phosphate metabolism","0.0506164498649696      .","0.431703476707532      ."
"Transporter catalog - Transport electron carriers","0.0506164498649696      .","0.431703476707532      ."
"Fatty acid biosynthesis","0.0543126883661862      .","0.663495679345202      ."
"Glycolysis / Gluconeogenesis","0.0543126883661862      .","0.663495679345202      ."
"Lipid metabolism - Fatty acid biosynthesis","0.0543126883661862      .","0.663495679345202      ."
"Transcription factors - C2C2-GATA","0.0543126883661862      .","0.663495679345202      ."
"Enzyme - 7.1  Catalysing the translocation of hydrons","0.058219287984645      .","0.967554386673815      ."
"Transcription factors - C2C2-DOF","0.058219287984645      .","0.967554386673815      ."
"Enzyme - 4.1  Carbon-carbon lyases","0.0623433088526888      .","0.967554386673815      ."
"Butanoate metabolism","0.0666916723275726      .","0.999999999999993      ."
"Photosynthesis","0.0666916723275726      .","0.999999999999993      ."
"Enzyme - 1.3  Acting on the CH-CH group of donors","0.0666916723275726      .","0.999999999999993      ."
"Porphyrin metabolism","0.0712711279846311      .","0.999999999999993      ."
"Peroxisome","0.0760882196548612      .","0.999999999999993      ."
"Cofactors and vitamin metabolism - Ubiquinone biosynthesis","0.0811492506628545      .","1      ."
"Transcription factors - AUXIAA","0.0811492506628545      .","1      ."
"Transcription factors - ZIM","0.0811492506628545      .","1      ."
"Nicotinate and nicotinamide metabolism","0.0864602484351567      .","1      ."
"Protein - Calcium ion-dependent exocytosis","0.0864602484351567      .","1      ."
"Transport and catabolism - Phagosome","0.0864602484351567      .","1      ."
"Transporter catalog - Porters cat 18 to 29","0.0864602484351567      .","1      ."
"Electrochemical potential-driven transporters [TC:2]","0.0920269286625526      .","1      ."
"Transporter catalog - Group translocators","0.0920269286625526      .","1      ."
"Protein - Lipid raft mediated endocytosis","0.0978546592123271      .","1      ."
"Carbohydrate metabolism - Propanoate metabolism","0.0978546592123271      .","1      ."
"Peptidases and inhibitors - Family C1: papain family","0.103948423998055      .","1      ."
"Lipid metabolism - C21-Steroid hormone metabolism","0.103948423998055      .","1      ."
"Energy metabolism - Nitrogen metabolism","0.110312787024768      .","1      ."
"Glycine serine and threonine metabolism","0.116951856836283      .","1      ."
"Enzyme - 4.4  Carbon-sulfur lyases","0.116951856836283      .","1      ."
"Enzyme - 1.5  Acting on the CH-NH group of donors","0.123869251598873      .","1      ."
"Cofactors and vitamin metabolism - Vitamin B6 metabolism","0.123869251598873      .","1      ."
"Enzyme - 6.3  Forming carbon-nitrogen bonds","0.131068065061241      .","1      ."
"Amino acid metabolism - Phenylalanine metabolism","0.138550833634692      .","1      ."
"Lipid metabolism - Biosynthesis of unsaturated fatty acids","0.138550833634692      .","1      ."
"Carotenoid biosynthesis","0.146319504839501      .","1      ."
"Stilbenoid diarylheptanoid and gingerol biosynthesis","0.146319504839501      .","1      ."
"Transcription factors - BHLH","0.146319504839501      .","1      ."
"Peptidases and inhibitors - Family S10","0.154375407363478      .","1      ."
"Transport system - Thylakoid targeting pathway","0.154375407363478      .","1      ."
"Exosome - Proteins found in most exosomes","0.162719222976772      .","1      ."
"Photosynthesis protein - Photosystem I (P700 chlorophyll a)","0.162719222976772      .","1      ."
"SLC25: Mitochondrial carrier","0.162719222976772      .","1      ."
"Transcription factors - GNAT","0.162719222976772      .","1      ."
"Transporter catalog - Porters cat 1 to 6","0.162719222976772      .","1      ."
"Other glycan degradation","0.171350960542725      .","1      ."
"Vitamin B6 metabolism","0.171350960542725      .","1      ."
"Phagosome","0.180269932358251      .","1      ."
"Carbohydrate metabolism - Nucleotide sugars metabolism","0.180269932358251      .","1      ."
"Steroid biosynthesis","0.189474733048639      .","1      ."
"Receptor - Others","0.189474733048639      .","1      ."
"Hormone signaling - Jasmonate signaling","0.189474733048639      .","1      ."
"Galactose metabolism","0.198963221230906      .","1      ."
"Lysine degradation","0.198963221230906      .","1      ."
"Transporter catalog - Porters cat 66 to 94","0.198963221230906      .","1      ."
"Other amino acids metabolism - Beta-alanine metabolism","0.208732504146853      .","1      ."
"Pores ion channels [TC:1]","0.229098056328822      .","1      ."
"Hormone transport - Auxin transport","0.229098056328822      .","1      ."
"Transcription factors - MYBrelated","0.229098056328822      .","1      ."
"Pyrimidine metabolism","0.239684690075826      .","1      ."
"Energy metabolism - Photosynthesis antenna proteins","0.239684690075826      .","1      ."
"Translation - Aminoacyl-tRNA biosynthesis","0.239684690075826      .","1      ."
"Energy metabolism - Oxidative phosphorylation","0.250532840298728      .","1      ."
"Phenylalanine tyrosine and tryptophan biosynthesis","0.261635742812965      .","1      ."
"Photosynthesis - antenna proteins","0.261635742812965      .","1      ."
"Fatty acid elongation","0.27298586133828      .","1      ."
"Enzyme - 3.1  Acting on ester bonds","0.27298586133828      .","1      ."
"Enzyme - 6.2  Forming carbon-sulfur bonds","0.27298586133828      .","1      ."
"Kinase - CDK family","0.27298586133828      .","1      ."
"Kinase - Wnk family","0.27298586133828      .","1      ."
"Carbohydrate metabolism - Butanoate metabolism","0.284574897043012      .","1      ."
"Lipid metabolism - Fatty acid elongation in mitochondria","0.284574897043012      .","1      ."
"Fatty acid degradation","0.296393801968636      .","1      ."
"Oxidative phosphorylation","0.296393801968636      .","1      ."
"Enzyme - 1.4  Acting on the CH-NH2 group of donors","0.296393801968636      .","1      ."
"Plant specific signaling - Flower development","0.296393801968636      .","1      ."
"Folate biosynthesis","0.308432796337865      .","1      ."
"Energy metabolism - Carbon fixation","0.320681389721716      .","1      ."
"Biotin metabolism","0.358569750296157      .","1      ."
"Channel - Cyclic nucleotide-gated channel (CNG)","0.358569750296157      .","1      ."
"Photosynthesis protein - Photosynthetic electron transport","0.358569750296157      .","1      ."
"Transporter catalog - Primary active transporter cat D1","0.358569750296157      .","1      ."
"Amino acid metabolism - Glutamate metabolism","0.371538573901961      .","1      ."
"Biosynthesis of secondary metabolism - ABA biosynthesis","0.371538573901961      .","1      ."
"Enzyme - 2.4  Glycosyltransferases","0.384654886537883      .","1      ."
"Transcription factors - Basic leucine zipper (bZIP)","0.384654886537883      .","1      ."
"Propanoate metabolism","0.397904584259509      .","1      ."
"Exosome - Exosomal proteins of breast cancer cells","0.397904584259509      .","1      ."
"SLC47: Multidrug and Toxin Extrusion (MATE) family","0.397904584259509      .","1      ."
"Cell motility - Regulation of actin cytoskeleton","0.397904584259509      .","1      ."
"Hormone signaling - ABA signaling","0.397904584259509      .","1      ."
"beta-Alanine metabolism","0.411273100716908      .","1      ."
"Energy metabolism - Reductive carboxylate cycle","0.411273100716908      .","1      ."
"Transcription factors - MTERF","0.411273100716908      .","1      ."
"Tropane piperidine and pyridine alkaloid biosynthesis","0.424745454961135      .","1      ."
"Mitochondrial dynamics","0.424745454961135      .","1      ."
"Cilium and associated proteins - Stereociliary proteins","0.438306301660423      .","1      ."
"Enzyme - 5.1  Racemases and epimerases","0.438306301660423      .","1      ."
"Ribosome - Bacteria","0.438306301660423      .","1      ."
"Ribosome - Mitochondria/ Chloroplast","0.438306301660423      .","1      ."
"Translation factors - Release factors","0.438306301660423      .","1      ."
"Transcription factors - BZIP","0.438306301660423      .","1      ."
"Circadian rhythm - plant","0.451939983446422      .","1      ."
"Citrate cycle (TCA cycle)","0.451939983446422      .","1      ."
"Glutathione metabolism","0.451939983446422      .","1      ."
"Kinase - CAMKL family","0.451939983446422      .","1      ."
"Transcription factors - HB","0.451939983446422      .","1      ."
"Cytoskeleton - Microtubules","0.465630585093419      .","1      ."
"Histidine metabolism","0.479361989218405      .","1      ."
"Sphingolipid metabolism","0.479361989218405      .","1      ."
"Peptidases and inhibitors - Family A1: pepsin family","0.493117933177292      .","1      ."
"Protein - Chaperone mediated autophagy (CMA)","0.493117933177292      .","1      ."
"Amino acid metabolism - Methionine metabolism","0.506882066822708      .","1      ."
"Signal transduction - Phosphatidylinositol signaling system","0.506882066822708      .","1      ."
"Transcription factors - Trihelix","0.506882066822708      .","1      ."
"Common spliceosomal components","0.520638010781595      .","1      ."
"Transport and catabolism - Peroxisome","0.534369414906581      .","1      ."
"Pantothenate and CoA biosynthesis","0.548060016553578      .","1      ."
"Zeatin biosynthesis","0.548060016553578      .","1      ."
"Amino acid metabolism - Alanine and aspartate metabolism","0.561693698339577      .","1      ."
"Sulfur relay system","0.575254545038865      .","1      ."
"Carbohydrate metabolism - Aminosugars metabolism","0.575254545038865      .","1      ."
"Cofactors and vitamin metabolism - Thiamine metabolism","0.575254545038865      .","1      ."
"Other amino acids metabolism - Glutathione metabolism","0.575254545038865      .","1      ."
"Phenylalanine metabolism","0.588726899283092      .","1      ."
"Chromosome and associated proteins - Gene silencing","0.588726899283092      .","1      ."
"Mitochondrial transcription and translation factors","0.588726899283092      .","1      ."
"Thiamine metabolism","0.602095415740491      .","1      ."
"Chaperone - Protein disulfide isomerase","0.602095415740491      .","1      ."
"Transcription factors - C2C2-CO","0.615345113462117      .","1      ."
"Ribosome","0.628461426098039      .","1      ."
"Nucleotide metabolism - Pyrimidine metabolism","0.628461426098039      .","1      ."
"Plant specific signaling - Plant-pathogen interaction","0.628461426098039      .","1      ."
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","0.641430249703843      .","1      ."
"Aminoacyl-tRNA synthetases (AARSs)","0.641430249703843      .","1      ."
"Chaperone - HSP70 / DNAK","0.641430249703843      .","1      ."
"Protein - Clathrin-mediated endocytosis","0.641430249703843      .","1      ."
"Plant specific signaling - Circadian rhythm","0.641430249703843      .","1      ."
"Riboflavin metabolism","0.654237987877386      .","1      ."
"Exosome - Exosomal proteins of bladder cancer cells","0.654237987877386      .","1      ."
"Transport and catabolism - Regulation of autophagy","0.654237987877386      .","1      ."
"Enzyme - 3.4  Acting on peptide bonds (peptidases)","0.666871593987333      .","1      ."
"Glycosyltransferase - Hydrophobic molecule","0.666871593987333      .","1      ."
"Transcription factors - G2-like","0.666871593987333      .","1      ."
"Ribosome - Archaea","0.679318610278284      .","1      ."
"Biosynthesis of secondary metabolism - Auxin biosynthesis","0.679318610278284      .","1      ."
"Phosphatidylinositol signaling system","0.703606198031364      .","1      ."
"Transcription factors - SET PCG","0.715425102956988      .","1      ."
"Protein - Small GTPases and associated proteins","0.72701413866172      .","1      ."
"Transcription factors - Basic helix-loop-helix (bHLH)","0.72701413866172      .","1      ."
"Translation - mRNA surveillance pathway","0.72701413866172      .","1      ."
"Proteasome - Assembling factors","0.738364257187035      .","1      ."
"SLC39: Metal ion transporter","0.738364257187035      .","1      ."
"Transcription factors - ARF","0.738364257187035      .","1      ."
"Valine leucine and isoleucine degradation","0.749467159701272      .","1      ."
"Repair protein - SSBR (single strand breaks repair)","0.749467159701272      .","1      ."
"Endoplasmic reticulum membrane and cytosol","0.760315309924174      .","1      ."
"Protein - Retrieval pathways","0.760315309924174      .","1      ."
"Enzyme - 1.2  Acting on the aldehyde or oxo group of donors","0.770901943671178      .","1      ."
"Transcription factors - GRAS","0.770901943671178      .","1      ."
"Exosome - Exosomal proteins of colorectal cancer cells","0.781221074548079      .","1      ."
"Biosynthesis of secondary metabolism - Zeatin biosynthesis","0.791267495853147      .","1      ."
"Hormone signaling - Brassinosteroids signaling","0.791267495853147      .","1      ."
"Aminoacyl-tRNA biosynthesis","0.801036778769094      .","1      ."
"Transcription factors - NAC","0.801036778769094      .","1      ."
"Translation - Ribosome","0.801036778769094      .","1      ."
"Plant-pathogen interaction","0.810525266951361      .","1      ."
"Enzyme - 6.1  Forming carbon-oxygen bonds","0.810525266951361      .","1      ."
"Cell growth and death - Cell cycle","0.810525266951361      .","1      ."
"Transcription factors - HSF","0.810525266951361      .","1      ."
"Chaperone - Peptidyl prolyl isomerase","0.819730067641749      .","1      ."
"Carbohydrate metabolism - Citrate cycle","0.819730067641749      .","1      ."
"Tryptophan metabolism","0.828649039457275      .","1      ."
"Viral life cycle - HIV-1","0.828649039457275      .","1      ."
"Mitophagy factors","0.828649039457275      .","1      ."
"Signal transduction - Calcium signaling pathway","0.828649039457275      .","1      ."
"Transcription factors - Other zf-DHHC","0.828649039457275      .","1      ."
"Protein - Autophagosome formation proteins","0.837280777023228      .","1      ."
"Protein - Mitophagy","0.837280777023228      .","1      ."
"Ribosome - Eukaryotes","0.837280777023228      .","1      ."
"Transcription factors - Helix-turn-helix","0.837280777023228      .","1      ."
"Purine metabolism","0.845624592636522      .","1      ."
"Enzyme - 2.1  Transferring one-carbon groups","0.845624592636522      .","1      ."
"Transcription factors - CCAAT","0.845624592636522      .","1      ."
"Transcription factors - MYB","0.853680495160499      .","1      ."
"Transcription factors - Orphans FAR-RED","0.853680495160499      .","1      ."
"Transcription factors - SBP","0.853680495160499      .","1      ."
"Various types of N-glycan biosynthesis","0.861449166365308      .","1      ."
"Enzyme - 2.8  Transferring sulfur-containing groups","0.861449166365308      .","1      ."
"Glycan biosynthesis and metabolism - N-Glycan biosynthesis","0.868931934938759      .","1      ."
"Alanine aspartate and glutamate metabolism","0.876130748401127      .","1      ."
"Transcription factors - FHA","0.883048143163717      .","1      ."
"Hormone signaling - Gibberellin signaling","0.889687212975232      .","1      ."
"Transcription factors - Other zf-C3HC4","0.889687212975232      .","1      ."
"Transcription factors - WRKY","0.889687212975232      .","1      ."
"Arginine biosynthesis","0.896051576001945      .","1      ."
"mRNA surveillance pathway","0.896051576001945      .","1      ."
"Enzyme - 4.3  Carbon-nitrogen lyases","0.896051576001945      .","1      ."
"Other amino acids metabolism - Selenoamino acid metabolism","0.896051576001945      .","1      ."
"N-Glycan biosynthesis","0.902145340787673      .","1      ."
"Enzyme - 5.3  Intramolecular oxidoreductases","0.902145340787673      .","1      ."
"Glycosyltransferase - Dol-linked oligosaccharide","0.902145340787673      .","1      ."
"Protein - Other autophagy associated proteins","0.907973071337447      .","1      ."
"Transcription factors - Jumonji","0.907973071337447      .","1      ."
"Transcription factors - MADS","0.907973071337447      .","1      ."
"Arginine and proline metabolism","0.913539751564843      .","1      ."
"Enzyme - 2.3  Acyltransferases","0.913539751564843      .","1      ."
"Replication protein - DNA Replication Initiation Factors","0.913539751564843      .","1      ."
"Autophagy - other","0.918850749337146      .","1      ."
"Valine leucine and isoleucine biosynthesis","0.918850749337146      .","1      ."
"Sulfur metabolism","0.923911780345139      .","1      ."
"Protein - Arf GTPases and associated proteins","0.923911780345139      .","1      ."
"Amino acid metabolism - Cysteine metabolism","0.923911780345139      .","1      ."
"Amino acid metabolism - Histidine metabolism","0.928728872015369      .","1      ."
"Transcription factors - Orphans zf-b box","0.928728872015369      .","1      ."
"MAPK signaling pathway - plant","0.933308327672427      .","1      ."
"tRNA modification factors","0.933308327672427      .","1      ."
"Ubiquitin system - Single Ring-finger type E3","0.933308327672427      .","1      ."
"GTP-binding proteins - Rab Family","0.937656691147311      .","1      ."
"Transcription factors - HMG","0.937656691147311      .","1      ."
"Transcription factors - Other zf","0.937656691147311      .","1      ."
"Replication and repair - Base excision repair","0.941780712015355      .","1      ."
"Ribosome biogenesis - Other ribosome biogenesis factors","0.945687311633814      .","1      ."
"Isoquinoline alkaloid biosynthesis","0.94938355013503      .","1      ."
"Chaperone - HSP20","0.94938355013503      .","1      ."
"Chaperone - HSP60 / Chaperonin","0.94938355013503      .","1      ."
"Transcription factors - PHD","0.94938355013503      .","1      ."
"Enzyme - Class II (C/G)","0.95287659451645      .","1      ."
"Ubiquitin system - Ubiquitin-specific proteases (UBPs)","0.95287659451645      .","1      ."
"Endocytosis","0.956173687953677      .","1      ."
"Tyrosine metabolism","0.956173687953677      .","1      ."
"Enzyme - 5.2  cis-trans-Isomerases","0.956173687953677      .","1      ."
"Energy metabolism - Sulfur metabolism","0.956173687953677      .","1      ."
"Transport system - Protein coat","0.956173687953677      .","1      ."
"Protein - VAMP, Ykt6, Sec22 (R)","0.959282120447506      .","1      ."
"RNA degradation","0.962209200900482      .","1      ."
"Matrix","0.962209200900482      .","1      ."
"Ubiquitin system - Ubiquitin-conjugating enzymes","0.962209200900482      .","1      ."
"Replication and repair - Sulfur relay system","0.962209200900482      .","1      ."
"Transcription - RNA polymerase","0.962209200900482      .","1      ."
"Transcription factors - GRF","0.962209200900482      .","1      ."
"Cysteine and methionine metabolism","0.964962230703329      .","1      ."
"Enzyme - 2.7  Transferring phosphorus-containing groups","0.964962230703329      .","1      ."
"Outer membrane","0.964962230703329      .","1      ."
"Protein - Tethering complex","0.964962230703329      .","1      ."
"Nucleocytoplasmic transport","0.967548478896474      .","1      ."
"Enzyme - Class I","0.967548478896474      .","1      ."
"Protein - SNARE associated proteins","0.967548478896474      .","1      ."
"Amino acid metabolism - Tyrosine metabolism","0.967548478896474      .","1      ."
"Hormone signaling - Ethylene signaling","0.967548478896474      .","1      ."
"Regulator of mitochondrial biogenesis","0.969975158957235      .","1      ."
"Spliceosome associated proteins (SAPs)","0.969975158957235      .","1      ."
"Homologous recombination","0.972249407248964      .","1      ."
"Ribosome biogenesis - 90S particles","0.972249407248964      .","1      ."
"Secretion system - Eukaryotic Sec-SRP protein","0.972249407248964      .","1      ."
"Messenger RNA Biogenesis - mRNA degradation factors","0.974378263154753      .","1      ."
"Messenger RNA Biogenesis - mRNA processing factors","0.974378263154753      .","1      ."
"Folding sorting degradation - Protein export","0.974378263154753      .","1      ."
"Nucleotide metabolism - Purine metabolism","0.974378263154753      .","1      ."
"Transport system - Tethering factors","0.974378263154753      .","1      ."
"RNA polymerase III system","0.976368650905265      .","1      ."
"Ubiquitin system - Multi subunit Ring-finger type E3","0.976368650905265      .","1      ."
"Amino acid metabolism - Lysine biosynthesis","0.976368650905265      .","1      ."
"Replication and repair - DNA replication","0.976368650905265      .","1      ."
"Transcription factors - C3H","0.976368650905265      .","1      ."
"Transport system - Nuclear pore complex","0.976368650905265      .","1      ."
"Spliceosome","0.978227363097979      .","1      ."
"GTP-binding proteins - Arf/Sar Family","0.978227363097979      .","1      ."
"Proteins involved in snRNP biogenesis","0.978227363097979      .","1      ."
"Ribosome biogenesis - Pre-40S particles","0.978227363097979      .","1      ."
"Base excision repair","0.979961045893599      .","1      ."
"DNA replication","0.979961045893599      .","1      ."
"Peptidases and inhibitors - Family T1: proteasome family","0.979961045893599      .","1      ."
"Proteasome - Core particles (20S proteasome)","0.979961045893599      .","1      ."
"Replication protein - DNA Replication Termination Factors","0.979961045893599      .","1      ."
"U1 snRNP components","0.979961045893599      .","1      ."
"Protein - Forward pathways","0.981576185864767      .","1      ."
"Translation - RNA transport","0.981576185864767      .","1      ."
"Transcription factors - C2H2","0.984475918056518      .","1      ."
"Minor spliceosome components","0.985772589499364      .","1      ."
"Mitochondrial respiratory chain complex assembly factors","0.985772589499364      .","1      ."
"RNA polymerase II system","0.985772589499364      .","1      ."
"Transcription factors - AP2 EREBP","0.985772589499364      .","1      ."
"Transcription factors - SNF2","0.985772589499364      .","1      ."
"Transcription factors - TCP","0.986974861154039      .","1      ."
"Protein - Syntaxin (Qa)","0.988088279323017      .","1      ."
"RNA polymerase I system","0.988088279323017      .","1      ."
"RNA polymerase","0.989118184008162      .","1      ."
"Enzyme - 3.6  Acting on acid anhydrides","0.989118184008162      .","1      ."
"Sugar transporters","0.989118184008162      .","1      ."
"U4/U6.U5 tri-snRNP components","0.989118184008162      .","1      ."
"Ubiquitin system - UBL-specific proteases (ULPs)","0.989118184008162      .","1      ."
"Transcription factors - SWIB","0.989118184008162      .","1      ."
"Chaperone - HSP40 / DNAJ","0.990069705928641      .","1      ."
"Inner mambrane","0.990947764720222      .","1      ."
"Primary active transporters [TC:3]","0.990947764720222      .","1      ."
"Folding sorting degradation - Proteasome","0.990947764720222      .","1      ."
"Transcription - Spliceosome","0.990947764720222      .","1      ."
"Translation - Ribosome biogenesis in Eukaryotes","0.990947764720222      .","1      ."
"Mismatch repair","0.991757068237016      .","1      ."
"Ribosome biogenesis in eukaryotes","0.991757068237016      .","1      ."
"Ribosome biogenesis - Pre-60S particles","0.991757068237016      .","1      ."
"Replication and repair - RNA degradation","0.991757068237016      .","1      ."
"Transcription factors - AS2","0.991757068237016      .","1      ."
"Protein export","0.992502112875202      .","1      ."
"Proteasome","0.993187184837451      .","1      ."
"Protein processing in endoplasmic reticulum","0.993187184837451      .","1      ."
"U2 snRNP components","0.993187184837451      .","1      ."
"Replication and repair - Mismatch repair","0.993187184837451      .","1      ."
"Replication and repair - Nucleotide excision repair","0.993187184837451      .","1      ."
"Transcription factors - Zinc finger","0.993816362256696      .","1      ."
"Replication and repair - Homologous recombination","0.993816362256696      .","1      ."
"Enzyme - 2.6  Transferring nitrogenous groups","0.994393518098453      .","1      ."
"Amino acid metabolism - Arginine and proline metabolism","0.994393518098453      .","1      ."
"Nucleotide excision repair","0.994922323762093      .","1      ."
"Other components","0.994922323762093      .","1      ."
"Proteasome - Regulatory particles","0.994922323762093      .","1      ."
"Transcription - Basal transcription factors","0.995848588201016      .","1      ."
"Basal transcription factors","0.996620668945181      .","1      ."
"Kinase - CDPK family","0.996620668945181      .","1      ."
"Protein - SNAP-25[C] (Qc)","0.996620668945181      .","1      ."
"Repair protein - Check point factors","0.996620668945181      .","1      ."
"Transcription factors - Other transcription factors","0.996620668945181      .","1      ."
"Ubiquitin mediated proteolysis","0.997261174944037      .","1      ."
"Transcription factors - ABI3VP1","0.997261174944037      .","1      ."
"SNARE interactions in vesicular transport","0.997538406118958      .","1      ."
"Kinase - IRAK family","0.997538406118958      .","1      ."
"Signal transduction - mTOR signaling pathway","0.99801807089636      .","1      ."
