"gene set","p-value","fdr"
"Transcription factors - C2C2-CO","0.0623433088526888      .","0.555602070131174      ."
"Ribosome biogenesis in eukaryotes","0.0666916723275726      .","0.555602070131174      ."
"Enzyme - 5.2  cis-trans-Isomerases","0.0666916723275726      .","0.555602070131174      ."
"Enzyme - 6.2  Forming carbon-sulfur bonds","0.0666916723275726      .","0.555602070131174      ."
"Nucleotide metabolism - Purine metabolism","0.0666916723275726      .","0.555602070131174      ."
"Plant specific signaling - Flower development","0.0666916723275726      .","0.555602070131174      ."
"Aminoacyl-tRNA biosynthesis","0.0712711279846311      .","0.599932723391213      ."
"Basal transcription factors","0.0712711279846311      .","0.599932723391213      ."
"Replication protein - DNA Replication Termination Factors","0.0712711279846311      .","0.599932723391213      ."
"Lipid metabolism - Biosynthesis of steroids","0.0712711279846311      .","0.599932723391213      ."
"Transcription - Basal transcription factors","0.0760882196548612      .","0.599932723391213      ."
"Transcription factors - SBP","0.0760882196548612      .","0.599932723391213      ."
"Exosome - Exosomal proteins of bladder cancer cells","0.0811492506628545      .","0.599932723391213      ."
"Ribosome biogenesis - Pre-40S particles","0.0811492506628545      .","0.599932723391213      ."
"SLC15: Proton oligopeptide cotransporter","0.0811492506628545      .","0.599932723391213      ."
"Biosynthesis of unsaturated fatty acids","0.0864602484351567      .","0.599932723391213      ."
"Ubiquitin system - Ubiquitin-specific proteases (UBPs)","0.0864602484351567      .","0.599932723391213      ."
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","0.0978546592123271      .","0.599932723391213      ."
"RNA polymerase","0.0978546592123271      .","0.599932723391213      ."
"Exosome - Exosomal proteins of breast milk","0.0978546592123271      .","0.599932723391213      ."
"Peptidases and inhibitors - Family A1: pepsin family","0.0978546592123271      .","0.599932723391213      ."
"Photosynthesis protein - Photosystem I (P700 chlorophyll a)","0.0978546592123271      .","0.599932723391213      ."
"Protein - SNARE associated proteins","0.0978546592123271      .","0.599932723391213      ."
"Transport system - Protein coat","0.0978546592123271      .","0.599932723391213      ."
"Base excision repair","0.103948423998055      .","0.63067079185737      ."
"Exosome - Exosomal proteins of colorectal cancer cells","0.103948423998055      .","0.63067079185737      ."
"tRNA modification factors","0.103948423998055      .","0.63067079185737      ."
"Amino acid metabolism - Tyrosine metabolism","0.103948423998055      .","0.63067079185737      ."
"Transcription factors - Jumonji","0.103948423998055      .","0.63067079185737      ."
"Replication protein - DNA Replication Initiation Factors","0.110312787024768      .","0.63067079185737      ."
"Cell growth and death - Cell cycle","0.110312787024768      .","0.63067079185737      ."
"Transcription factors - SET PCG","0.110312787024768      .","0.63067079185737      ."
"Cutin suberine and wax biosynthesis","0.116951856836283      .","0.63067079185737      ."
"Transcription factors - GRF","0.116951856836283      .","0.63067079185737      ."
"Enzyme - 2.2  Transferring aldehyde or ketonic groups","0.123869251598873      .","0.63067079185737      ."
"Peptidases and inhibitors - Family S10","0.123869251598873      .","0.63067079185737      ."
"Peptidases and inhibitors - Family T1: proteasome family","0.123869251598873      .","0.63067079185737      ."
"Proteasome - Core particles (20S proteasome)","0.123869251598873      .","0.63067079185737      ."
"Biosynthesis of secondary metabolism - Zeatin biosynthesis","0.123869251598873      .","0.63067079185737      ."
"Transcription factors - MTERF","0.123869251598873      .","0.63067079185737      ."
"Aminoacyl-tRNA synthetases (AARSs)","0.131068065061241      .","0.665128533935816      ."
"Amino acid metabolism - Lysine biosynthesis","0.131068065061241      .","0.665128533935816      ."
"Plant specific signaling - Circadian rhythm","0.131068065061241      .","0.665128533935816      ."
"Transcription - RNA polymerase","0.131068065061241      .","0.665128533935816      ."
"Ubiquitin system - Single Ring-finger type E3","0.138550833634692      .","0.665128533935816      ."
"Proteins involved in snRNP biogenesis","0.146319504839501      .","0.665128533935816      ."
"RNA polymerase III system","0.146319504839501      .","0.665128533935816      ."
"Amino acid metabolism - Histidine metabolism","0.146319504839501      .","0.665128533935816      ."
"Hormone signaling - Auxin signaling","0.146319504839501      .","0.665128533935816      ."
"Replication and repair - Base excision repair","0.146319504839501      .","0.665128533935816      ."
"Photosynthesis - antenna proteins","0.154375407363478      .","0.665128533935816      ."
"Photosynthesis","0.154375407363478      .","0.665128533935816      ."
"Transport system - Thylakoid targeting pathway","0.154375407363478      .","0.665128533935816      ."
"DNA replication","0.162719222976772      .","0.665128533935816      ."
"Enzyme - 3.2  Glycosylases","0.162719222976772      .","0.665128533935816      ."
"Energy metabolism - Photosynthesis antenna proteins","0.162719222976772      .","0.665128533935816      ."
"Replication and repair - RNA degradation","0.162719222976772      .","0.665128533935816      ."
"Repair protein - SSBR (single strand breaks repair)","0.171350960542725      .","0.665128533935816      ."
"RNA polymerase II system","0.171350960542725      .","0.665128533935816      ."
"Glycan biosynthesis and metabolism - N-Glycan biosynthesis","0.171350960542725      .","0.665128533935816      ."
"Replication and repair - DNA replication","0.171350960542725      .","0.665128533935816      ."
"Replication and repair - Homologous recombination","0.171350960542725      .","0.665128533935816      ."
"Transcription - Spliceosome","0.171350960542725      .","0.665128533935816      ."
"Homologous recombination","0.180269932358251      .","0.665128533935816      ."
"Glycosyltransferase - Hydrophobic molecule","0.180269932358251      .","0.665128533935816      ."
"U2 snRNP components","0.180269932358251      .","0.665128533935816      ."
"U4/U6.U5 tri-snRNP components","0.180269932358251      .","0.665128533935816      ."
"Cytoskeleton - Microtubules","0.198963221230906      .","0.665128533935816      ."
"Mitochondrial respiratory chain complex assembly factors","0.198963221230906      .","0.665128533935816      ."
"Protein - Tethering complex","0.198963221230906      .","0.665128533935816      ."
"Repair protein - Check point factors","0.198963221230906      .","0.665128533935816      ."
"Ribosome biogenesis - Pre-60S particles","0.198963221230906      .","0.665128533935816      ."
"Cofactors and vitamin metabolism - Ubiquinone biosynthesis","0.198963221230906      .","0.665128533935816      ."
"Other amino acids metabolism - Selenoamino acid metabolism","0.198963221230906      .","0.665128533935816      ."
"Transcription factors - C3H","0.198963221230906      .","0.665128533935816      ."
"Biotin metabolism","0.208732504146853      .","0.665128533935816      ."
"Starch and sucrose metabolism","0.208732504146853      .","0.665128533935816      ."
"Lipid biosynthesis protein - Component type","0.208732504146853      .","0.665128533935816      ."
"Messenger RNA Biogenesis - mRNA degradation factors","0.208732504146853      .","0.665128533935816      ."
"Protein - Retrieval pathways","0.208732504146853      .","0.665128533935816      ."
"Lipid metabolism - Glycerophospholipid metabolism","0.208732504146853      .","0.665128533935816      ."
"Nucleotide metabolism - Pyrimidine metabolism","0.208732504146853      .","0.665128533935816      ."
"Transcription factors - HMG","0.208732504146853      .","0.665128533935816      ."
"Transporter catalog - Transport electron carriers","0.208732504146853      .","0.665128533935816      ."
"Autophagy - other","0.218778925451921      .","0.831434531295672      ."
"Fatty acid elongation","0.218778925451921      .","0.831434531295672      ."
"Mismatch repair","0.218778925451921      .","0.831434531295672      ."
"Cilium and associated proteins - Stereociliary proteins","0.218778925451921      .","0.831434531295672      ."
"Glycosyltransferase - Dol-linked oligosaccharide","0.218778925451921      .","0.831434531295672      ."
"Energy metabolism - Photosynthesis","0.218778925451921      .","0.831434531295672      ."
"Lipid metabolism - Sphingolipid metabolism","0.229098056328822      .","0.831434531295672      ."
"Phenylpropanoid biosynthesis","0.239684690075826      .","0.831434531295672      ."
"Pyrimidine metabolism","0.239684690075826      .","0.831434531295672      ."
"Stilbenoid diarylheptanoid and gingerol biosynthesis","0.239684690075826      .","0.831434531295672      ."
"Protein - Mitophagy","0.239684690075826      .","0.831434531295672      ."
"Cell motility - Regulation of actin cytoskeleton","0.239684690075826      .","0.831434531295672      ."
"Hormone signaling - Gibberellin signaling","0.239684690075826      .","0.831434531295672      ."
"Transcription factors - MYB","0.239684690075826      .","0.831434531295672      ."
"Mitochondrial transcription and translation factors","0.250532840298728      .","0.831434531295672      ."
"RNA degradation","0.261635742812965      .","0.831434531295672      ."
"Replication and repair - Mismatch repair","0.261635742812965      .","0.831434531295672      ."
"Replication and repair - Sulfur relay system","0.261635742812965      .","0.831434531295672      ."
"mRNA surveillance pathway","0.27298586133828      .","0.831434531295672      ."
"Porphyrin metabolism","0.27298586133828      .","0.831434531295672      ."
"Enzyme - 1.3  Acting on the CH-CH group of donors","0.27298586133828      .","0.831434531295672      ."
"Selenocompound metabolism","0.284574897043012      .","0.831434531295672      ."
"Chaperone - Peptidyl prolyl isomerase","0.284574897043012      .","0.831434531295672      ."
"Kinase - CDK family","0.284574897043012      .","0.831434531295672      ."
"Matrix","0.284574897043012      .","0.831434531295672      ."
"Protein - Calcium ion-dependent exocytosis","0.284574897043012      .","0.831434531295672      ."
"Protein - SNAP-25[C] (Qc)","0.284574897043012      .","0.831434531295672      ."
"Carbohydrate metabolism - Glycolysis","0.284574897043012      .","0.831434531295672      ."
"N-Glycan biosynthesis","0.296393801968636      .","1      ."
"Phagosome","0.296393801968636      .","1      ."
"Enzyme - 1.11  Acting on a peroxide as acceptor","0.296393801968636      .","1      ."
"Enzyme - 6.3  Forming carbon-nitrogen bonds","0.296393801968636      .","1      ."
"Photosynthesis protein - Photosynthetic electron transport","0.296393801968636      .","1      ."
"RNA polymerase I system","0.296393801968636      .","1      ."
"Transcription factors - Basic helix-loop-helix (bHLH)","0.296393801968636      .","1      ."
"Cofactors and vitamin metabolism - Riboflavin metabolism","0.296393801968636      .","1      ."
"Hormone signaling - Cytokinin signaling","0.296393801968636      .","1      ."
"Transcription factors - C2C2-GATA","0.296393801968636      .","1      ."
"Transcription factors - FHA","0.296393801968636      .","1      ."
"Spliceosome","0.308432796337865      .","1      ."
"ABCG (White) subfamily","0.308432796337865      .","1      ."
"Ribosome - Eukaryotes","0.308432796337865      .","1      ."
"Fatty acid biosynthesis","0.320681389721716      .","1      ."
"Nucleocytoplasmic transport","0.320681389721716      .","1      ."
"Transcription factors - Other zf-DHHC","0.320681389721716      .","1      ."
"Enzyme - 4.2  Carbon-oxygen lyases","0.333128406012667      .","1      ."
"SLC39: Metal ion transporter","0.333128406012667      .","1      ."
"Ubiquitin system - UBL-specific proteases (ULPs)","0.333128406012667      .","1      ."
"Hormone transport - Auxin transport","0.333128406012667      .","1      ."
"Outer membrane","0.345762012122614      .","1      ."
"Ribosome - Archaea","0.345762012122614      .","1      ."
"Transcription factors - SWIB","0.345762012122614      .","1      ."
"Translation - RNA transport","0.345762012122614      .","1      ."
"Other components","0.358569750296157      .","1      ."
"Protein - Autophagosome formation proteins","0.358569750296157      .","1      ."
"Transcription factors - Helix-turn-helix","0.358569750296157      .","1      ."
"Signal transduction - mTOR signaling pathway","0.358569750296157      .","1      ."
"Ubiquitin mediated proteolysis","0.371538573901961      .","1      ."
"Common spliceosomal components","0.371538573901961      .","1      ."
"Enzyme - 4.1  Carbon-carbon lyases","0.371538573901961      .","1      ."
"Protein - Arf GTPases and associated proteins","0.371538573901961      .","1      ."
"Transport system - Nuclear pore complex","0.371538573901961      .","1      ."
"Glycerophospholipid metabolism","0.384654886537883      .","1      ."
"Nucleotide excision repair","0.384654886537883      .","1      ."
"ABCB (MDR/TAP) subfamily","0.384654886537883      .","1      ."
"Aquaporins and small neutral solute transporters [TC:1.A.8]","0.384654886537883      .","1      ."
"Enzyme - 1.6  Acting on NADH or NADPH","0.384654886537883      .","1      ."
"Enzyme - 5.4  Intramolecular transferases","0.384654886537883      .","1      ."
"Fructose and mannose metabolism","0.397904584259509      .","1      ."
"Terpenoid backbone biosynthesis","0.397904584259509      .","1      ."
"SLC35: Nucleoside-sugar transporter","0.397904584259509      .","1      ."
"Amino acid metabolism - Cysteine metabolism","0.397904584259509      .","1      ."
"Energy metabolism - Methane metabolism","0.397904584259509      .","1      ."
"Glycan biosynthesis and metabolism - N-Glycan degradation","0.397904584259509      .","1      ."
"Pentose and glucuronate interconversions","0.411273100716908      .","1      ."
"Various types of N-glycan biosynthesis","0.411273100716908      .","1      ."
"Viral life cycle - HIV-1","0.411273100716908      .","1      ."
"Primary active transporters [TC:3]","0.411273100716908      .","1      ."
"Protein - Forward pathways","0.411273100716908      .","1      ."
"Transcription factors - BHLH","0.411273100716908      .","1      ."
"Ether lipid metabolism","0.424745454961135      .","1      ."
"Plant hormone signal transduction","0.424745454961135      .","1      ."
"Valine leucine and isoleucine biosynthesis","0.424745454961135      .","1      ."
"Protein - VAMP, Ykt6, Sec22 (R)","0.424745454961135      .","1      ."
"Cell growth and death - Cell wall","0.424745454961135      .","1      ."
"Lipid metabolism - Ether lipid metabolism","0.424745454961135      .","1      ."
"Ribosome","0.438306301660423      .","1      ."
"Enzyme - 5.3  Intramolecular oxidoreductases","0.438306301660423      .","1      ."
"Kinase - Wnk family","0.438306301660423      .","1      ."
"Replication and repair - Nucleotide excision repair","0.451939983446422      .","1      ."
"Translation - Ribosome","0.451939983446422      .","1      ."
"Glycine serine and threonine metabolism","0.465630585093419      .","1      ."
"Exosome - Exosomal proteins of breast cancer cells","0.465630585093419      .","1      ."
"GTP-binding proteins - Rab Family","0.465630585093419      .","1      ."
"Messenger RNA Biogenesis - mRNA processing factors","0.465630585093419      .","1      ."
"GTP-binding proteins - Arf/Sar Family","0.479361989218405      .","1      ."
"Transcription factors - AUXIAA","0.493117933177292      .","1      ."
"Transport and catabolism - Regulation of autophagy","0.493117933177292      .","1      ."
"Enzyme - 1.17  Acting on CH or CH2 groups","0.506882066822708      .","1      ."
"Transcription factors - C2C2-DOF","0.506882066822708      .","1      ."
"Carbohydrate metabolism - Fructose and mannose metabolism","0.520638010781595      .","1      ."
"Transcription factors - Other zf","0.520638010781595      .","1      ."
"Pentose phosphate pathway","0.534369414906581      .","1      ."
"Sulfur relay system","0.534369414906581      .","1      ."
"Glycosyltransferase - Structural polysaccharide","0.534369414906581      .","1      ."
"Ribosome biogenesis - Other ribosome biogenesis factors","0.534369414906581      .","1      ."
"Carbohydrate metabolism - Inositol phosphate metabolism","0.534369414906581      .","1      ."
"Energy metabolism - Carbon fixation","0.534369414906581      .","1      ."
"Channel - Cyclic nucleotide-gated channel (CNG)","0.548060016553578      .","1      ."
"Ribosome - Mitochondria/ Chloroplast","0.548060016553578      .","1      ."
"Translation - mRNA surveillance pathway","0.548060016553578      .","1      ."
"Protein - Actin-binding proteins","0.561693698339577      .","1      ."
"Ribosome - Bacteria","0.561693698339577      .","1      ."
"Sulfur metabolism","0.575254545038865      .","1      ."
"Tyrosine metabolism","0.575254545038865      .","1      ."
"Lipid metabolism - Fatty acid metabolism","0.575254545038865      .","1      ."
"Regulator of mitochondrial biogenesis","0.588726899283092      .","1      ."
"Biosynthesis of secondary metabolism - Auxin biosynthesis","0.588726899283092      .","1      ."
"Transcription factors - HB","0.588726899283092      .","1      ."
"Ubiquinone and other terpenoid-quinone biosynthesis","0.602095415740491      .","1      ."
"Enzyme - 2.6  Transferring nitrogenous groups","0.602095415740491      .","1      ."
"Protein - Small GTPases and associated proteins","0.602095415740491      .","1      ."
"Endocytosis","0.615345113462117      .","1      ."
"Enzyme - 7.1  Catalysing the translocation of hydrons","0.615345113462117      .","1      ."
"Ubiquitin system - Ubiquitin-conjugating enzymes","0.615345113462117      .","1      ."
"Signal transduction - Phosphatidylinositol signaling system","0.615345113462117      .","1      ."
"Transcription factors - CCAAT","0.615345113462117      .","1      ."
"Amino acid metabolism - Phenylalanine metabolism","0.641430249703843      .","1      ."
"Carbohydrate metabolism - Pentose phosphate","0.641430249703843      .","1      ."
"Transport and catabolism - Phagosome","0.641430249703843      .","1      ."
"Transporter catalog - Porters cat 66 to 94","0.641430249703843      .","1      ."
"ABC transporters","0.654237987877386      .","1      ."
"Electrochemical potential-driven transporters [TC:2]","0.654237987877386      .","1      ."
"Enzyme - 2.4  Glycosyltransferases","0.654237987877386      .","1      ."
"Lipid metabolism - Fatty acid biosynthesis","0.654237987877386      .","1      ."
"Protein - Lipid raft mediated endocytosis","0.666871593987333      .","1      ."
"Secretion system - Eukaryotic Sec-SRP protein","0.666871593987333      .","1      ."
"Transcription factors - Other zf-C3HC4","0.666871593987333      .","1      ."
"Fatty acid degradation","0.679318610278284      .","1      ."
"Phenylalanine tyrosine and tryptophan biosynthesis","0.691567203662135      .","1      ."
"Protein - Other autophagy associated proteins","0.691567203662135      .","1      ."
"Lipid metabolism - Biosynthesis of unsaturated fatty acids","0.691567203662135      .","1      ."
"Transcription factors - C2H2","0.691567203662135      .","1      ."
"Butanoate metabolism","0.703606198031364      .","1      ."
"Mitophagy factors","0.703606198031364      .","1      ."
"Carbohydrate metabolism - Starch and sucrose metabolism","0.703606198031364      .","1      ."
"Arginine biosynthesis","0.715425102956988      .","1      ."
"Flavonoid biosynthesis","0.715425102956988      .","1      ."
"Glycerolipid metabolism","0.715425102956988      .","1      ."
"Purine metabolism","0.715425102956988      .","1      ."
"SLC47: Multidrug and Toxin Extrusion (MATE) family","0.715425102956988      .","1      ."
"Transporter catalog - Primary active transporter cat D1","0.715425102956988      .","1      ."
"Minor spliceosome components","0.72701413866172      .","1      ."
"Energy metabolism - Sulfur metabolism","0.72701413866172      .","1      ."
"SNARE interactions in vesicular transport","0.738364257187035      .","1      ."
"Chaperone - HSP40 / DNAJ","0.738364257187035      .","1      ."
"Transcription factors - ABI3VP1","0.738364257187035      .","1      ."
"Transport system - Tethering factors","0.738364257187035      .","1      ."
"Transporter catalog - Porters cat 1 to 6","0.738364257187035      .","1      ."
"Amino sugar and nucleotide sugar metabolism","0.749467159701272      .","1      ."
"Citrate cycle (TCA cycle)","0.749467159701272      .","1      ."
"Glycolysis / Gluconeogenesis","0.749467159701272      .","1      ."
"Oxidative phosphorylation","0.749467159701272      .","1      ."
"Sugar transporters","0.749467159701272      .","1      ."
"Transport and catabolism - Peroxisome","0.749467159701272      .","1      ."
"Transporter catalog - Channels and pores","0.749467159701272      .","1      ."
"Protein processing in endoplasmic reticulum","0.760315309924174      .","1      ."
"Protein - Macropinocytosis","0.760315309924174      .","1      ."
"Biosynthesis of secondary metabolism - ABA biosynthesis","0.760315309924174      .","1      ."
"Transcription factors - Trihelix","0.760315309924174      .","1      ."
"Lipid metabolism - C21-Steroid hormone metabolism","0.770901943671178      .","1      ."
"Transporter catalog - Porters cat 7 to 17","0.770901943671178      .","1      ."
"MAPK signaling pathway - plant","0.781221074548079      .","1      ."
"Enzyme - 3.6  Acting on acid anhydrides","0.781221074548079      .","1      ."
"Amino acid metabolism - Glutamate metabolism","0.781221074548079      .","1      ."
"Transporter catalog - Porters cat 18 to 29","0.781221074548079      .","1      ."
"Transporter catalog - Porters cat 30 to 64","0.781221074548079      .","1      ."
"Pantothenate and CoA biosynthesis","0.791267495853147      .","1      ."
"Carbohydrate metabolism - Ascorbate and aldarate metabolism","0.791267495853147      .","1      ."
"Glyoxylate and dicarboxylate metabolism","0.801036778769094      .","1      ."
"Propanoate metabolism","0.801036778769094      .","1      ."
"Tropane piperidine and pyridine alkaloid biosynthesis","0.801036778769094      .","1      ."
"Carbohydrate metabolism - Butanoate metabolism","0.801036778769094      .","1      ."
"Membrane transport - ABC transporters","0.801036778769094      .","1      ."
"Cyanoamino acid metabolism","0.810525266951361      .","1      ."
"Valine leucine and isoleucine degradation","0.810525266951361      .","1      ."
"Chaperone - Protein disulfide isomerase","0.810525266951361      .","1      ."
"Transcription factors - Other transcription factors","0.810525266951361      .","1      ."
"Amino acid metabolism - Arginine and proline metabolism","0.810525266951361      .","1      ."
"Riboflavin metabolism","0.819730067641749      .","1      ."
"Inner mambrane","0.819730067641749      .","1      ."
"Kinase - CDPK family","0.819730067641749      .","1      ."
"Protein export","0.828649039457275      .","1      ."
"Pyruvate metabolism","0.828649039457275      .","1      ."
"Transcription factors - MYBrelated","0.828649039457275      .","1      ."
"Kinase - CAMKL family","0.837280777023228      .","1      ."
"Signal transduction - Calcium signaling pathway","0.837280777023228      .","1      ."
"Biosynthesis of various plant secondary metabolites","0.845624592636522      .","1      ."
"Enzyme - 1.2  Acting on the aldehyde or oxo group of donors","0.845624592636522      .","1      ."
"Translation factors - Release factors","0.845624592636522      .","1      ."
"One carbon pool by folate","0.853680495160499      .","1      ."
"Receptor - Others","0.853680495160499      .","1      ."
"Hormone signaling - ABA signaling","0.853680495160499      .","1      ."
"Lipid metabolism - Alpha-linolenic acid metabolism","0.853680495160499      .","1      ."
"Enzyme - 3.1  Acting on ester bonds","0.861449166365308      .","1      ."
"Plant specific signaling - Plant-pathogen interaction","0.861449166365308      .","1      ."
"Carbon fixation in photosynthetic organisms","0.868931934938759      .","1      ."
"Isoquinoline alkaloid biosynthesis","0.868931934938759      .","1      ."
"Amino acid metabolism - Alanine and aspartate metabolism","0.868931934938759      .","1      ."
"Energy metabolism - Oxidative phosphorylation","0.883048143163717      .","1      ."
"Transcription factors - Orphans zf-b box","0.883048143163717      .","1      ."
"Transcription factors - WRKY","0.883048143163717      .","1      ."
"Cytoskeleton - Actin filaments / Microfilaments","0.889687212975232      .","1      ."
"Transcription factors - NAC","0.889687212975232      .","1      ."
"Alanine aspartate and glutamate metabolism","0.896051576001945      .","1      ."
"alpha-Linolenic acid metabolism","0.896051576001945      .","1      ."
"Enzyme - 1.1  Acting on the CH-OH group of donors","0.896051576001945      .","1      ."
"Enzyme - 4.4  Carbon-sulfur lyases","0.902145340787673      .","1      ."
"Mitochondrial dynamics","0.902145340787673      .","1      ."
"Peptidases and inhibitors - Family C1: papain family","0.902145340787673      .","1      ."
"Transcription factors - AP2 EREBP","0.902145340787673      .","1      ."
"Histidine metabolism","0.907973071337447      .","1      ."
"Phenylalanine metabolism","0.907973071337447      .","1      ."
"Enzyme - Class I","0.907973071337447      .","1      ."
"Linoleic acid metabolism","0.913539751564843      .","1      ."
"Protein - Clathrin-mediated endocytosis","0.913539751564843      .","1      ."
"Carotenoid biosynthesis","0.918850749337146      .","1      ."
"Nicotinate and nicotinamide metabolism","0.918850749337146      .","1      ."
"Hormone signaling - Ethylene signaling","0.918850749337146      .","1      ."
"Transcription factors - HSF","0.918850749337146      .","1      ."
"Ascorbate and aldarate metabolism","0.923911780345139      .","1      ."
"Nitrogen metabolism","0.923911780345139      .","1      ."
"Amino acid metabolism - Methionine metabolism","0.923911780345139      .","1      ."
"Folding sorting degradation - Protein export","0.923911780345139      .","1      ."
"Lipid metabolism - Glycerolipid metabolism","0.923911780345139      .","1      ."
"Cysteine and methionine metabolism","0.928728872015369      .","1      ."
"Inositol phosphate metabolism","0.928728872015369      .","1      ."
"Phosphatidylinositol signaling system","0.928728872015369      .","1      ."
"Glutathione metabolism","0.937656691147311      .","1      ."
"Plant-pathogen interaction","0.937656691147311      .","1      ."
"Protein - Syntaxin (Qa)","0.937656691147311      .","1      ."
"Other amino acids metabolism - Glutathione metabolism","0.937656691147311      .","1      ."
"Transcription factors - Basic leucine zipper (bZIP)","0.941780712015355      .","1      ."
"Hormone signaling - Jasmonate signaling","0.941780712015355      .","1      ."
"Galactose metabolism","0.945687311633814      .","1      ."
"Tryptophan metabolism","0.945687311633814      .","1      ."
"Transcription factors - BZIP","0.945687311633814      .","1      ."
"Pores ion channels [TC:1]","0.95287659451645      .","1      ."
"Carbohydrate metabolism - Citrate cycle","0.956173687953677      .","1      ."
"Carbohydrate metabolism - Pyruvate metabolism","0.956173687953677      .","1      ."
"Lysine degradation","0.959282120447506      .","1      ."
"Enzyme - 1.8  Acting on a sulfur group of donors","0.959282120447506      .","1      ."
"Energy metabolism - Nitrogen metabolism","0.959282120447506      .","1      ."
"Enzyme - 1.5  Acting on the CH-NH group of donors","0.962209200900482      .","1      ."
"Protein - Chaperone mediated autophagy (CMA)","0.964962230703329      .","1      ."
"Carbohydrate metabolism - Aminosugars metabolism","0.964962230703329      .","1      ."
"Carbohydrate metabolism - Nucleotide sugars metabolism","0.964962230703329      .","1      ."
"Energy metabolism - Reductive carboxylate cycle","0.964962230703329      .","1      ."
"Other amino acids metabolism - Beta-alanine metabolism","0.964962230703329      .","1      ."
"Arginine and proline metabolism","0.967548478896474      .","1      ."
"Exosome - Proteins found in most exosomes","0.967548478896474      .","1      ."
"Chaperone - HSP20","0.969975158957235      .","1      ."
"Endoplasmic reticulum membrane and cytosol","0.969975158957235      .","1      ."
"Proteasome - Assembling factors","0.969975158957235      .","1      ."
"Carbohydrate metabolism - Galactose metabolism","0.972249407248964      .","1      ."
"beta-Alanine metabolism","0.974378263154753      .","1      ."
"Carbohydrate metabolism - Propanoate metabolism","0.974378263154753      .","1      ."
"Transcription factors - G2-like","0.974378263154753      .","1      ."
"Transcription factors - ZIM","0.974378263154753      .","1      ."
"Chaperone - HSP70 / DNAK","0.976368650905265      .","1      ."
"Enzyme - 5.1  Racemases and epimerases","0.978227363097979      .","1      ."
"Cofactors and vitamin metabolism - Folate biosynthesis","0.978227363097979      .","1      ."
"Folate biosynthesis","0.979961045893599      .","1      ."
"Zeatin biosynthesis","0.981576185864767      .","1      ."
"Transcription factors - GRAS","0.981576185864767      .","1      ."
"Peroxisome","0.983079098462441      .","1      ."
"SLC25: Mitochondrial carrier","0.985772589499364      .","1      ."
"Lipid metabolism - Fatty acid elongation in mitochondria","0.985772589499364      .","1      ."
