"gene set","p-value","fdr"
"Lipid metabolism - Biosynthesis of steroids","0.0438263120463228      .","0.416606674020167      ."
"Transport system - Nuclear pore complex","0.0438263120463228      .","0.416606674020167      ."
"Translation factors - Release factors","0.0471234054835504      .","0.416606674020167      ."
"Plant specific signaling - Circadian rhythm","0.0471234054835504      .","0.416606674020167      ."
"Replication and repair - RNA degradation","0.0471234054835504      .","0.416606674020167      ."
"Porphyrin metabolism","0.0506164498649696      .","0.416606674020167      ."
"Starch and sucrose metabolism","0.0506164498649696      .","0.416606674020167      ."
"Repair protein - SSBR (single strand breaks repair)","0.0506164498649696      .","0.416606674020167      ."
"Transcription factors - FHA","0.0506164498649696      .","0.416606674020167      ."
"Fatty acid elongation","0.0543126883661862      .","0.416606674020167      ."
"Other glycan degradation","0.0543126883661862      .","0.416606674020167      ."
"Enzyme - 3.4  Acting on peptide bonds (peptidases)","0.0543126883661862      .","0.416606674020167      ."
"Enzyme - 4.1  Carbon-carbon lyases","0.058219287984645      .","0.488703347381811      ."
"Messenger RNA Biogenesis - mRNA degradation factors","0.058219287984645      .","0.488703347381811      ."
"Carbohydrate metabolism - Inositol phosphate metabolism","0.058219287984645      .","0.488703347381811      ."
"Replication and repair - DNA replication","0.058219287984645      .","0.488703347381811      ."
"Protein - Mitophagy","0.0623433088526888      .","0.772932480388898      ."
"Amino acid metabolism - Histidine metabolism","0.0623433088526888      .","0.772932480388898      ."
"Transcription factors - PHD","0.0623433088526888      .","0.772932480388898      ."
"Base excision repair","0.0666916723275726      .","0.86681034260244      ."
"Transcription factors - C2C2-DOF","0.0666916723275726      .","0.86681034260244      ."
"Transport and catabolism - Peroxisome","0.0712711279846311      .","0.86681034260244      ."
"Protein - Forward pathways","0.0760882196548612      .","0.86681034260244      ."
"Carbohydrate metabolism - Nucleotide sugars metabolism","0.0811492506628545      .","0.86681034260244      ."
"Hormone signaling - Gibberellin signaling","0.0811492506628545      .","0.86681034260244      ."
"Replication and repair - Base excision repair","0.0811492506628545      .","0.86681034260244      ."
"Terpenoid backbone biosynthesis","0.0864602484351567      .","0.86681034260244      ."
"Minor spliceosome components","0.0864602484351567      .","0.86681034260244      ."
"Carbohydrate metabolism - Pentose phosphate","0.0864602484351567      .","0.86681034260244      ."
"Cytoskeleton - Actin filaments / Microfilaments","0.0978546592123271      .","0.86681034260244      ."
"Repair protein - Check point factors","0.103948423998055      .","0.86681034260244      ."
"Ribosome biogenesis - Other ribosome biogenesis factors","0.103948423998055      .","0.86681034260244      ."
"RNA polymerase II system","0.103948423998055      .","0.86681034260244      ."
"DNA replication","0.110312787024768      .","0.86681034260244      ."
"Lipid metabolism - Fatty acid metabolism","0.110312787024768      .","0.86681034260244      ."
"Replication and repair - Homologous recombination","0.116951856836283      .","0.86681034260244      ."
"Channel - Cyclic nucleotide-gated channel (CNG)","0.123869251598873      .","0.86681034260244      ."
"Enzyme - 3.1  Acting on ester bonds","0.123869251598873      .","0.86681034260244      ."
"Exosome - Exosomal proteins of breast milk","0.123869251598873      .","0.86681034260244      ."
"Glycosyltransferase - Dol-linked oligosaccharide","0.131068065061241      .","0.86681034260244      ."
"Ribosome biogenesis - 90S particles","0.131068065061241      .","0.86681034260244      ."
"Transcription factors - Zinc finger","0.131068065061241      .","0.86681034260244      ."
"Transcription factors - TCP","0.131068065061241      .","0.86681034260244      ."
"Enzyme - 1.3  Acting on the CH-CH group of donors","0.138550833634692      .","0.86681034260244      ."
"Enzyme - 6.3  Forming carbon-nitrogen bonds","0.138550833634692      .","0.86681034260244      ."
"Homologous recombination","0.146319504839501      .","0.86681034260244      ."
"ABCB (MDR/TAP) subfamily","0.146319504839501      .","0.86681034260244      ."
"Protein - Macropinocytosis","0.146319504839501      .","0.86681034260244      ."
"Protein - SNARE associated proteins","0.146319504839501      .","0.86681034260244      ."
"Spliceosome associated proteins (SAPs)","0.146319504839501      .","0.86681034260244      ."
"Cofactors and vitamin metabolism - Thiamine metabolism","0.146319504839501      .","0.86681034260244      ."
"Transcription - Basal transcription factors","0.146319504839501      .","0.86681034260244      ."
"Thiamine metabolism","0.154375407363478      .","0.86681034260244      ."
"Plant specific signaling - Flower development","0.154375407363478      .","0.86681034260244      ."
"Transcription factors - C2C2-CO","0.154375407363478      .","0.86681034260244      ."
"Transcription factors - GRF","0.154375407363478      .","0.86681034260244      ."
"Basal transcription factors","0.162719222976772      .","0.86681034260244      ."
"Ether lipid metabolism","0.162719222976772      .","0.86681034260244      ."
"Nucleocytoplasmic transport","0.162719222976772      .","0.86681034260244      ."
"Ribosome biogenesis - Pre-40S particles","0.162719222976772      .","0.86681034260244      ."
"Ribosome biogenesis in eukaryotes","0.171350960542725      .","0.86681034260244      ."
"Cell growth and death - Cell cycle","0.171350960542725      .","0.86681034260244      ."
"Glycan biosynthesis and metabolism - N-Glycan biosynthesis","0.171350960542725      .","0.86681034260244      ."
"Fatty acid degradation","0.180269932358251      .","0.999999999999999      ."
"Inositol phosphate metabolism","0.180269932358251      .","0.999999999999999      ."
"Enzyme - 2.3  Acyltransferases","0.180269932358251      .","0.999999999999999      ."
"Primary active transporters [TC:3]","0.180269932358251      .","0.999999999999999      ."
"Replication protein - DNA Replication Initiation Factors","0.180269932358251      .","0.999999999999999      ."
"Transcription factors - SNF2","0.180269932358251      .","0.999999999999999      ."
"Sphingolipid metabolism","0.189474733048639      .","0.999999999999999      ."
"Enzyme - 2.1  Transferring one-carbon groups","0.189474733048639      .","0.999999999999999      ."
"Cell motility - Regulation of actin cytoskeleton","0.189474733048639      .","0.999999999999999      ."
"Nucleotide excision repair","0.198963221230906      .","0.999999999999999      ."
"Mitochondrial dynamics","0.198963221230906      .","0.999999999999999      ."
"ABC transporters","0.208732504146853      .","1      ."
"N-Glycan biosynthesis","0.208732504146853      .","1      ."
"Aquaporins and small neutral solute transporters [TC:1.A.8]","0.208732504146853      .","1      ."
"Chaperone - HSP20","0.208732504146853      .","1      ."
"Protein - Actin-binding proteins","0.208732504146853      .","1      ."
"Replication and repair - Mismatch repair","0.208732504146853      .","1      ."
"Transcription factors - C3H","0.208732504146853      .","1      ."
"RNA degradation","0.218778925451921      .","1      ."
"Replication protein - DNA Replication Termination Factors","0.218778925451921      .","1      ."
"Peptidases and inhibitors - Family S10","0.229098056328822      .","1      ."
"Fatty acid biosynthesis","0.250532840298728      .","1      ."
"Lipid metabolism - Biosynthesis of unsaturated fatty acids","0.250532840298728      .","1      ."
"Transcription factors - Orphans FAR-RED","0.250532840298728      .","1      ."
"alpha-Linolenic acid metabolism","0.261635742812965      .","1      ."
"mRNA surveillance pathway","0.261635742812965      .","1      ."
"Phosphatidylinositol signaling system","0.261635742812965      .","1      ."
"Peptidases and inhibitors - Family A1: pepsin family","0.261635742812965      .","1      ."
"Energy metabolism - Carbon fixation","0.261635742812965      .","1      ."
"Hormone signaling - Auxin signaling","0.261635742812965      .","1      ."
"Hormone signaling - Cytokinin signaling","0.261635742812965      .","1      ."
"Lipid metabolism - Fatty acid biosynthesis","0.261635742812965      .","1      ."
"Biotin metabolism","0.284574897043012      .","1      ."
"Chaperone - HSP60 / Chaperonin","0.284574897043012      .","1      ."
"Nucleotide metabolism - Purine metabolism","0.284574897043012      .","1      ."
"Transcription factors - SBP","0.284574897043012      .","1      ."
"Translation - Ribosome biogenesis in Eukaryotes","0.284574897043012      .","1      ."
"RNA polymerase I system","0.296393801968636      .","1      ."
"Ubiquitin system - UBL-specific proteases (ULPs)","0.296393801968636      .","1      ."
"Amino acid metabolism - Phenylalanine metabolism","0.296393801968636      .","1      ."
"Transcription factors - C2C2-GATA","0.296393801968636      .","1      ."
"Transcription factors - Orphans zf-b box","0.296393801968636      .","1      ."
"Various types of N-glycan biosynthesis","0.308432796337865      .","1      ."
"Lipid biosynthesis protein - Component type","0.308432796337865      .","1      ."
"Ubiquitin system - Single Ring-finger type E3","0.308432796337865      .","1      ."
"Mismatch repair","0.320681389721716      .","1      ."
"Kinase - CDK family","0.320681389721716      .","1      ."
"Cofactors and vitamin metabolism - Ubiquinone biosynthesis","0.320681389721716      .","1      ."
"Glycerolipid metabolism","0.333128406012667      .","1      ."
"Pentose phosphate pathway","0.333128406012667      .","1      ."
"Chaperone - HSP40 / DNAJ","0.333128406012667      .","1      ."
"Cilium and associated proteins - Stereociliary proteins","0.333128406012667      .","1      ."
"Cytoskeleton - Microtubules","0.333128406012667      .","1      ."
"Matrix","0.333128406012667      .","1      ."
"Photosynthesis protein - Photosynthetic electron transport","0.333128406012667      .","1      ."
"Folding sorting degradation - Proteasome","0.333128406012667      .","1      ."
"Membrane transport - ABC transporters","0.333128406012667      .","1      ."
"Nucleotide metabolism - Pyrimidine metabolism","0.333128406012667      .","1      ."
"Transcription factors - BHLH","0.333128406012667      .","1      ."
"Translation - mRNA surveillance pathway","0.333128406012667      .","1      ."
"Exosome - Exosomal proteins of bladder cancer cells","0.345762012122614      .","1      ."
"Replication and repair - Nucleotide excision repair","0.345762012122614      .","1      ."
"Transcription factors - MADS","0.345762012122614      .","1      ."
"Transcription factors - AS2","0.358569750296157      .","1      ."
"Autophagy - other","0.371538573901961      .","1      ."
"Phagosome","0.371538573901961      .","1      ."
"Steroid biosynthesis","0.371538573901961      .","1      ."
"Enzyme - 5.3  Intramolecular oxidoreductases","0.371538573901961      .","1      ."
"Amino acid metabolism - Lysine biosynthesis","0.371538573901961      .","1      ."
"Cofactors and vitamin metabolism - Folate biosynthesis","0.371538573901961      .","1      ."
"Transporter catalog - Group translocators","0.371538573901961      .","1      ."
"Proteasome - Regulatory particles","0.384654886537883      .","1      ."
"SLC35: Nucleoside-sugar transporter","0.384654886537883      .","1      ."
"Transport and catabolism - Phagosome","0.384654886537883      .","1      ."
"Mitochondrial respiratory chain complex assembly factors","0.397904584259509      .","1      ."
"Amino sugar and nucleotide sugar metabolism","0.411273100716908      .","1      ."
"Photosynthesis","0.411273100716908      .","1      ."
"Plant hormone signal transduction","0.411273100716908      .","1      ."
"Sulfur relay system","0.411273100716908      .","1      ."
"Chaperone - Peptidyl prolyl isomerase","0.411273100716908      .","1      ."
"Peptidases and inhibitors - Family T1: proteasome family","0.411273100716908      .","1      ."
"Proteasome - Core particles (20S proteasome)","0.411273100716908      .","1      ."
"Transcription factors - Basic helix-loop-helix (bHLH)","0.411273100716908      .","1      ."
"Amino acid metabolism - Glutamate metabolism","0.411273100716908      .","1      ."
"Pyrimidine metabolism","0.424745454961135      .","1      ."
"Tyrosine metabolism","0.424745454961135      .","1      ."
"Protein - VAMP, Ykt6, Sec22 (R)","0.424745454961135      .","1      ."
"Energy metabolism - Photosynthesis","0.424745454961135      .","1      ."
"Transcription factors - Other zf-DHHC","0.424745454961135      .","1      ."
"Transport system - Thylakoid targeting pathway","0.424745454961135      .","1      ."
"Sulfur metabolism","0.438306301660423      .","1      ."
"Enzyme - 1.17  Acting on CH or CH2 groups","0.438306301660423      .","1      ."
"Carbohydrate metabolism - Starch and sucrose metabolism","0.438306301660423      .","1      ."
"Phenylalanine metabolism","0.451939983446422      .","1      ."
"Lipid metabolism - Fatty acid elongation in mitochondria","0.451939983446422      .","1      ."
"Other metabolism - Single reactions","0.451939983446422      .","1      ."
"Lysine degradation","0.465630585093419      .","1      ."
"Valine leucine and isoleucine degradation","0.465630585093419      .","1      ."
"Enzyme - 1.2  Acting on the aldehyde or oxo group of donors","0.465630585093419      .","1      ."
"Enzyme - 2.4  Glycosyltransferases","0.465630585093419      .","1      ."
"Enzyme - 3.2  Glycosylases","0.465630585093419      .","1      ."
"Kinase - Wnk family","0.465630585093419      .","1      ."
"Ribosome - Bacteria","0.465630585093419      .","1      ."
"Replication and repair - Sulfur relay system","0.465630585093419      .","1      ."
"SLC39: Metal ion transporter","0.479361989218405      .","1      ."
"Carbohydrate metabolism - Fructose and mannose metabolism","0.479361989218405      .","1      ."
"Proteasome","0.506882066822708      .","1      ."
"Transcription factors - Jumonji","0.506882066822708      .","1      ."
"Pentose and glucuronate interconversions","0.520638010781595      .","1      ."
"Amino acid metabolism - Tyrosine metabolism","0.520638010781595      .","1      ."
"One carbon pool by folate","0.534369414906581      .","1      ."
"Protein - Retrieval pathways","0.534369414906581      .","1      ."
"Carbohydrate metabolism - Glycolysis","0.534369414906581      .","1      ."
"Ribosome - Mitochondria/ Chloroplast","0.548060016553578      .","1      ."
"Transcription factors - CCAAT","0.548060016553578      .","1      ."
"Fructose and mannose metabolism","0.561693698339577      .","1      ."
"Enzyme - 2.2  Transferring aldehyde or ketonic groups","0.561693698339577      .","1      ."
"Protein - Small GTPases and associated proteins","0.561693698339577      .","1      ."
"Cell growth and death - Cell wall","0.561693698339577      .","1      ."
"Peroxisome","0.575254545038865      .","1      ."
"Exosome - Exosomal proteins of colorectal cancer cells","0.575254545038865      .","1      ."
"Glycosyltransferase - Structural polysaccharide","0.575254545038865      .","1      ."
"Kinase - CDPK family","0.575254545038865      .","1      ."
"Transcription factors - SWIB","0.575254545038865      .","1      ."
"Histidine metabolism","0.588726899283092      .","1      ."
"Enzyme - 4.2  Carbon-oxygen lyases","0.588726899283092      .","1      ."
"U1 snRNP components","0.588726899283092      .","1      ."
"Carbon fixation in photosynthetic organisms","0.602095415740491      .","1      ."
"Enzyme - 1.11  Acting on a peroxide as acceptor","0.602095415740491      .","1      ."
"Enzyme - 4.3  Carbon-nitrogen lyases","0.602095415740491      .","1      ."
"Enzyme - 6.2  Forming carbon-sulfur bonds","0.602095415740491      .","1      ."
"Transporter catalog - Porters cat 1 to 6","0.602095415740491      .","1      ."
"Ribosome biogenesis - Pre-60S particles","0.615345113462117      .","1      ."
"Sugar transporters","0.615345113462117      .","1      ."
"Transport and catabolism - Regulation of autophagy","0.615345113462117      .","1      ."
"Folate biosynthesis","0.628461426098039      .","1      ."
"Protein - Autophagosome formation proteins","0.628461426098039      .","1      ."
"Transporter catalog - Porters cat 7 to 17","0.628461426098039      .","1      ."
"Transporter catalog - Primary active transporter cat D1","0.628461426098039      .","1      ."
"Chaperone - Protein disulfide isomerase","0.641430249703843      .","1      ."
"Enzyme - 2.6  Transferring nitrogenous groups","0.641430249703843      .","1      ."
"Messenger RNA Biogenesis - mRNA processing factors","0.641430249703843      .","1      ."
"Protein - Arf GTPases and associated proteins","0.641430249703843      .","1      ."
"Protein - Lipid raft mediated endocytosis","0.641430249703843      .","1      ."
"Isoquinoline alkaloid biosynthesis","0.666871593987333      .","1      ."
"Transcription factors - Other zf-C3HC4","0.666871593987333      .","1      ."
"Protein processing in endoplasmic reticulum","0.679318610278284      .","1      ."
"Lipid metabolism - Alpha-linolenic acid metabolism","0.679318610278284      .","1      ."
"Lipid metabolism - Glycerolipid metabolism","0.679318610278284      .","1      ."
"Enzyme - 3.6  Acting on acid anhydrides","0.691567203662135      .","1      ."
"SLC15: Proton oligopeptide cotransporter","0.691567203662135      .","1      ."
"Transcription factors - C2H2","0.703606198031364      .","1      ."
"Glycolysis / Gluconeogenesis","0.715425102956988      .","1      ."
"Ubiquitin system - Ubiquitin-conjugating enzymes","0.715425102956988      .","1      ."
"Nitrogen metabolism","0.72701413866172      .","1      ."
"ABCG (White) subfamily","0.72701413866172      .","1      ."
"Carbohydrate metabolism - Ascorbate and aldarate metabolism","0.72701413866172      .","1      ."
"Energy metabolism - Oxidative phosphorylation","0.72701413866172      .","1      ."
"Purine metabolism","0.738364257187035      .","1      ."
"Transcription factors - Trihelix","0.738364257187035      .","1      ."
"Cyanoamino acid metabolism","0.749467159701272      .","1      ."
"Glyoxylate and dicarboxylate metabolism","0.749467159701272      .","1      ."
"Plant-pathogen interaction","0.749467159701272      .","1      ."
"Ubiquitin mediated proteolysis","0.749467159701272      .","1      ."
"GTP-binding proteins - Arf/Sar Family","0.749467159701272      .","1      ."
"Arginine and proline metabolism","0.760315309924174      .","1      ."
"Transporter catalog - Porters cat 18 to 29","0.760315309924174      .","1      ."
"Endocytosis","0.770901943671178      .","1      ."
"Transporter catalog - Porters cat 30 to 64","0.770901943671178      .","1      ."
"Peptidases and inhibitors - Family C1: papain family","0.781221074548079      .","1      ."
"Protein - Other autophagy associated proteins","0.781221074548079      .","1      ."
"U2 snRNP components","0.781221074548079      .","1      ."
"Carbohydrate metabolism - Aminosugars metabolism","0.781221074548079      .","1      ."
"Hormone signaling - Jasmonate signaling","0.791267495853147      .","1      ."
"Pyruvate metabolism","0.801036778769094      .","1      ."
"Regulator of mitochondrial biogenesis","0.801036778769094      .","1      ."
"Transcription factors - ABI3VP1","0.801036778769094      .","1      ."
"Transcription factors - MYBrelated","0.801036778769094      .","1      ."
"beta-Alanine metabolism","0.810525266951361      .","1      ."
"Citrate cycle (TCA cycle)","0.810525266951361      .","1      ."
"Electrochemical potential-driven transporters [TC:2]","0.810525266951361      .","1      ."
"MAPK signaling pathway - plant","0.819730067641749      .","1      ."
"Enzyme - Class I","0.819730067641749      .","1      ."
"Energy metabolism - Methane metabolism","0.819730067641749      .","1      ."
"Enzyme - 5.4  Intramolecular transferases","0.828649039457275      .","1      ."
"Mitophagy factors","0.828649039457275      .","1      ."
"Energy metabolism - Reductive carboxylate cycle","0.828649039457275      .","1      ."
"Transcription factors - HB","0.828649039457275      .","1      ."
"Transcription factors - HMG","0.828649039457275      .","1      ."
"Biosynthesis of various plant secondary metabolites","0.837280777023228      .","1      ."
"Selenocompound metabolism","0.837280777023228      .","1      ."
"Enzyme - 1.4  Acting on the CH-NH2 group of donors","0.837280777023228      .","1      ."
"Secretion system - Eukaryotic Sec-SRP protein","0.837280777023228      .","1      ."
"Signal transduction - mTOR signaling pathway","0.837280777023228      .","1      ."
"Translation - RNA transport","0.837280777023228      .","1      ."
"Nicotinate and nicotinamide metabolism","0.845624592636522      .","1      ."
"Transporter catalog - Channels and pores","0.845624592636522      .","1      ."
"Oxidative phosphorylation","0.853680495160499      .","1      ."
"Ribosome","0.853680495160499      .","1      ."
"Ribosome - Archaea","0.853680495160499      .","1      ."
"Amino acid metabolism - Arginine and proline metabolism","0.853680495160499      .","1      ."
"Transcription factors - G2-like","0.853680495160499      .","1      ."
"Energy metabolism - Sulfur metabolism","0.861449166365308      .","1      ."
"Folding sorting degradation - Protein export","0.861449166365308      .","1      ."
"Other amino acids metabolism - Glutathione metabolism","0.861449166365308      .","1      ."
"Stilbenoid diarylheptanoid and gingerol biosynthesis","0.868931934938759      .","1      ."
"Transcription factors - AUXIAA","0.868931934938759      .","1      ."
"Translation - Ribosome","0.868931934938759      .","1      ."
"Ubiquinone and other terpenoid-quinone biosynthesis","0.876130748401127      .","1      ."
"Vitamin B6 metabolism","0.876130748401127      .","1      ."
"Enzyme - 1.8  Acting on a sulfur group of donors","0.876130748401127      .","1      ."
"Other amino acids metabolism - Beta-alanine metabolism","0.876130748401127      .","1      ."
"Transcription factors - GNAT","0.876130748401127      .","1      ."
"Common spliceosomal components","0.883048143163717      .","1      ."
"Enzyme - 1.1  Acting on the CH-OH group of donors","0.883048143163717      .","1      ."
"Enzyme - 1.6  Acting on NADH or NADPH","0.883048143163717      .","1      ."
"GTP-binding proteins - Rab Family","0.883048143163717      .","1      ."
"Receptor - Others","0.883048143163717      .","1      ."
"Carbohydrate metabolism - Citrate cycle","0.883048143163717      .","1      ."
"Carbohydrate metabolism - Pyruvate metabolism","0.883048143163717      .","1      ."
"Transcription factors - Other zf","0.883048143163717      .","1      ."
"Transcription factors - Other transcription factors","0.889687212975232      .","1      ."
"Other amino acids metabolism - Selenoamino acid metabolism","0.889687212975232      .","1      ."
"Flavonoid biosynthesis","0.896051576001945      .","1      ."
"Ribosome - Eukaryotes","0.896051576001945      .","1      ."
"Plant specific signaling - Plant-pathogen interaction","0.896051576001945      .","1      ."
"Tropane piperidine and pyridine alkaloid biosynthesis","0.902145340787673      .","1      ."
"Glycosyltransferase - Hydrophobic molecule","0.902145340787673      .","1      ."
"Enzyme - 1.5  Acting on the CH-NH group of donors","0.907973071337447      .","1      ."
"Carbohydrate metabolism - Galactose metabolism","0.907973071337447      .","1      ."
"Transport system - Tethering factors","0.907973071337447      .","1      ."
"Carotenoid biosynthesis","0.913539751564843      .","1      ."
"Enzyme - 5.1  Racemases and epimerases","0.913539751564843      .","1      ."
"Protein - SNAP-25[C] (Qc)","0.913539751564843      .","1      ."
"Biosynthesis of secondary metabolism - Auxin biosynthesis","0.913539751564843      .","1      ."
"Cofactors and vitamin metabolism - Vitamin B6 metabolism","0.913539751564843      .","1      ."
"Riboflavin metabolism","0.918850749337146      .","1      ."
"Hormone signaling - Ethylene signaling","0.918850749337146      .","1      ."
"Transcription factors - HSF","0.918850749337146      .","1      ."
"Transcription factors - MYB","0.918850749337146      .","1      ."
"Transcription factors - NAC","0.918850749337146      .","1      ."
"Ascorbate and aldarate metabolism","0.923911780345139      .","1      ."
"Glutathione metabolism","0.923911780345139      .","1      ."
"Phenylpropanoid biosynthesis","0.923911780345139      .","1      ."
"U4/U6.U5 tri-snRNP components","0.923911780345139      .","1      ."
"Amino acid metabolism - Cysteine metabolism","0.923911780345139      .","1      ."
"Carbohydrate metabolism - Propanoate metabolism","0.923911780345139      .","1      ."
"Transcription - Spliceosome","0.923911780345139      .","1      ."
"Protein export","0.928728872015369      .","1      ."
"Enzyme - 4.4  Carbon-sulfur lyases","0.928728872015369      .","1      ."
"Biosynthesis of secondary metabolism - ABA biosynthesis","0.928728872015369      .","1      ."
"Transcription factors - AP2 EREBP","0.933308327672427      .","1      ."
"Transporter catalog - Porters cat 66 to 94","0.933308327672427      .","1      ."
"Viral life cycle - HIV-1","0.941780712015355      .","1      ."
"Energy metabolism - Nitrogen metabolism","0.941780712015355      .","1      ."
"Signal transduction - Calcium signaling pathway","0.941780712015355      .","1      ."
"Transcription factors - ZIM","0.941780712015355      .","1      ."
"Spliceosome","0.945687311633814      .","1      ."
"Zeatin biosynthesis","0.945687311633814      .","1      ."
"Alanine aspartate and glutamate metabolism","0.94938355013503      .","1      ."
"Cysteine and methionine metabolism","0.94938355013503      .","1      ."
"Glycine serine and threonine metabolism","0.94938355013503      .","1      ."
"Linoleic acid metabolism","0.94938355013503      .","1      ."
"Pores ion channels [TC:1]","0.94938355013503      .","1      ."
"SLC25: Mitochondrial carrier","0.94938355013503      .","1      ."
"Transcription factors - Basic leucine zipper (bZIP)","0.95287659451645      .","1      ."
"Hormone signaling - ABA signaling","0.95287659451645      .","1      ."
"Kinase - CAMKL family","0.959282120447506      .","1      ."
"Protein - Clathrin-mediated endocytosis","0.964962230703329      .","1      ."
"Galactose metabolism","0.969975158957235      .","1      ."
"Other components","0.969975158957235      .","1      ."
"Biosynthesis of secondary metabolism - Zeatin biosynthesis","0.972249407248964      .","1      ."
"Lipid metabolism - C21-Steroid hormone metabolism","0.972249407248964      .","1      ."
"Phenylalanine tyrosine and tryptophan biosynthesis","0.974378263154753      .","1      ."
"Transcription factors - WRKY","0.974378263154753      .","1      ."
"Transcription factors - BZIP","0.976368650905265      .","1      ."
"Transcription factors - GRAS","0.978227363097979      .","1      ."
"Pantothenate and CoA biosynthesis","0.979961045893599      .","1      ."
"Amino acid metabolism - Methionine metabolism","0.981576185864767      .","1      ."
"SNARE interactions in vesicular transport","0.983079098462441      .","1      ."
"Transcription factors - Helix-turn-helix","0.983079098462441      .","1      ."
"Enzyme - 7.1  Catalysing the translocation of hydrons","0.986974861154039      .","1      ."
"Cofactors and vitamin metabolism - Riboflavin metabolism","0.988088279323017      .","1      ."
"Butanoate metabolism","0.989118184008162      .","1      ."
"Exosome - Proteins found in most exosomes","0.989118184008162      .","1      ."
"Protein - Chaperone mediated autophagy (CMA)","0.990947764720222      .","1      ."
"Endoplasmic reticulum membrane and cytosol","0.991757068237016      .","1      ."
"Carbohydrate metabolism - Butanoate metabolism","0.992502112875202      .","1      ."
"Protein - Syntaxin (Qa)","0.993187184837451      .","1      ."
"Amino acid metabolism - Alanine and aspartate metabolism","0.993816362256696      .","1      ."
"Proteasome - Assembling factors","0.994393518098453      .","1      ."
"Inner mambrane","0.994922323762093      .","1      ."
"Chaperone - HSP70 / DNAK","0.99540625330316      .","1      ."
"SLC47: Multidrug and Toxin Extrusion (MATE) family","0.996252422598747      .","1      ."
"Tryptophan metabolism","0.996620668945181      .","1      ."
