"gene set","p-value","fdr"
"Terpenoid backbone biosynthesis","0.116951856836283      .","0.668566379577841      ."
"Kinase - CAMKL family","0.116951856836283      .","0.668566379577841      ."
"Protein - Clathrin-mediated endocytosis","0.116951856836283      .","0.668566379577841      ."
"Transcription factors - MYBrelated","0.116951856836283      .","0.668566379577841      ."
"Galactose metabolism","0.123869251598873      .","0.668566379577841      ."
"Oxidative phosphorylation","0.123869251598873      .","0.668566379577841      ."
"Carbohydrate metabolism - Fructose and mannose metabolism","0.123869251598873      .","0.668566379577841      ."
"Plant specific signaling - Plant-pathogen interaction","0.123869251598873      .","0.668566379577841      ."
"Signal transduction - Calcium signaling pathway","0.123869251598873      .","0.668566379577841      ."
"Transcription factors - HB","0.123869251598873      .","0.668566379577841      ."
"Flavonoid biosynthesis","0.131068065061241      .","0.668566379577841      ."
"Hormone signaling - Ethylene signaling","0.131068065061241      .","0.668566379577841      ."
"Translation - Ribosome","0.131068065061241      .","0.668566379577841      ."
"Ribosome","0.138550833634692      .","0.668566379577841      ."
"U2 snRNP components","0.138550833634692      .","0.668566379577841      ."
"Carbohydrate metabolism - Citrate cycle","0.138550833634692      .","0.668566379577841      ."
"Protein export","0.154375407363478      .","0.668566379577841      ."
"Protein processing in endoplasmic reticulum","0.154375407363478      .","0.668566379577841      ."
"Tropane piperidine and pyridine alkaloid biosynthesis","0.154375407363478      .","0.668566379577841      ."
"Chaperone - HSP40 / DNAJ","0.162719222976772      .","0.668566379577841      ."
"Enzyme - 1.11  Acting on a peroxide as acceptor","0.162719222976772      .","0.668566379577841      ."
"Ribosome - Archaea","0.162719222976772      .","0.668566379577841      ."
"Ribosome - Eukaryotes","0.162719222976772      .","0.668566379577841      ."
"Ubiquitin system - UBL-specific proteases (ULPs)","0.162719222976772      .","0.668566379577841      ."
"Carbohydrate metabolism - Ascorbate and aldarate metabolism","0.162719222976772      .","0.668566379577841      ."
"Energy metabolism - Carbon fixation","0.162719222976772      .","0.668566379577841      ."
"Hormone signaling - ABA signaling","0.162719222976772      .","0.668566379577841      ."
"Transcription factors - AS2","0.162719222976772      .","0.668566379577841      ."
"Transcription factors - NAC","0.162719222976772      .","0.668566379577841      ."
"Enzyme - 1.4  Acting on the CH-NH2 group of donors","0.171350960542725      .","0.668566379577841      ."
"Endocytosis","0.180269932358251      .","0.668566379577841      ."
"Glycolysis / Gluconeogenesis","0.180269932358251      .","0.668566379577841      ."
"SNARE interactions in vesicular transport","0.180269932358251      .","0.668566379577841      ."
"ABCG (White) subfamily","0.180269932358251      .","0.668566379577841      ."
"Chaperone - HSP20","0.180269932358251      .","0.668566379577841      ."
"Glycosyltransferase - Hydrophobic molecule","0.180269932358251      .","0.668566379577841      ."
"Transcription factors - Helix-turn-helix","0.180269932358251      .","0.668566379577841      ."
"Hormone signaling - Jasmonate signaling","0.180269932358251      .","0.668566379577841      ."
"Carbon fixation in photosynthetic organisms","0.189474733048639      .","0.668566379577841      ."
"Peptidases and inhibitors - Family T1: proteasome family","0.189474733048639      .","0.668566379577841      ."
"Proteasome - Core particles (20S proteasome)","0.189474733048639      .","0.668566379577841      ."
"Energy metabolism - Reductive carboxylate cycle","0.189474733048639      .","0.668566379577841      ."
"Hormone signaling - Brassinosteroids signaling","0.189474733048639      .","0.668566379577841      ."
"Transcription factors - AUXIAA","0.189474733048639      .","0.668566379577841      ."
"Transport system - Tethering factors","0.189474733048639      .","0.668566379577841      ."
"Pantothenate and CoA biosynthesis","0.198963221230906      .","0.91966386949365      ."
"Enzyme - 1.17  Acting on CH or CH2 groups","0.198963221230906      .","0.91966386949365      ."
"Kinase - CDPK family","0.198963221230906      .","0.91966386949365      ."
"Protein - Forward pathways","0.198963221230906      .","0.91966386949365      ."
"Carbohydrate metabolism - Aminosugars metabolism","0.198963221230906      .","0.91966386949365      ."
"Carbohydrate metabolism - Galactose metabolism","0.198963221230906      .","0.91966386949365      ."
"Other amino acids metabolism - Beta-alanine metabolism","0.198963221230906      .","0.91966386949365      ."
"Fatty acid degradation","0.208732504146853      .","0.91966386949365      ."
"Spliceosome","0.208732504146853      .","0.91966386949365      ."
"Cofactors and vitamin metabolism - Folate biosynthesis","0.208732504146853      .","0.91966386949365      ."
"Alanine aspartate and glutamate metabolism","0.218778925451921      .","0.999999999999992      ."
"MAPK signaling pathway - plant","0.218778925451921      .","0.999999999999992      ."
"Sulfur relay system","0.218778925451921      .","0.999999999999992      ."
"Regulator of mitochondrial biogenesis","0.218778925451921      .","0.999999999999992      ."
"Folding sorting degradation - Protein export","0.218778925451921      .","0.999999999999992      ."
"Membrane transport - ABC transporters","0.218778925451921      .","0.999999999999992      ."
"Valine leucine and isoleucine degradation","0.229098056328822      .","1      ."
"Enzyme - 2.8  Transferring sulfur-containing groups","0.229098056328822      .","1      ."
"Other components","0.229098056328822      .","1      ."
"Peptidases and inhibitors - Family C1: papain family","0.229098056328822      .","1      ."
"Ribosome - Mitochondria/ Chloroplast","0.229098056328822      .","1      ."
"alpha-Linolenic acid metabolism","0.250532840298728      .","1      ."
"GTP-binding proteins - Arf/Sar Family","0.250532840298728      .","1      ."
"Ribosome - Bacteria","0.250532840298728      .","1      ."
"Transporter catalog - Channels and pores","0.250532840298728      .","1      ."
"Receptor - Others","0.261635742812965      .","1      ."
"Amino acid metabolism - Phenylalanine metabolism","0.261635742812965      .","1      ."
"Lipid metabolism - Alpha-linolenic acid metabolism","0.261635742812965      .","1      ."
"Tryptophan metabolism","0.27298586133828      .","1      ."
"SLC25: Mitochondrial carrier","0.27298586133828      .","1      ."
"Amino acid metabolism - Alanine and aspartate metabolism","0.27298586133828      .","1      ."
"Transcription factors - WRKY","0.27298586133828      .","1      ."
"Peroxisome","0.284574897043012      .","1      ."
"Enzyme - 5.3  Intramolecular oxidoreductases","0.284574897043012      .","1      ."
"Mitophagy factors","0.284574897043012      .","1      ."
"Linoleic acid metabolism","0.296393801968636      .","1      ."
"Enzyme - 1.6  Acting on NADH or NADPH","0.296393801968636      .","1      ."
"Amino acid metabolism - Arginine and proline metabolism","0.308432796337865      .","1      ."
"Carbohydrate metabolism - Propanoate metabolism","0.308432796337865      .","1      ."
"Lipid metabolism - Fatty acid elongation in mitochondria","0.308432796337865      .","1      ."
"Glyoxylate and dicarboxylate metabolism","0.320681389721716      .","1      ."
"Protein - Arf GTPases and associated proteins","0.320681389721716      .","1      ."
"Transcription factors - BHLH","0.320681389721716      .","1      ."
"Citrate cycle (TCA cycle)","0.333128406012667      .","1      ."
"Kinase - Wnk family","0.333128406012667      .","1      ."
"Fructose and mannose metabolism","0.345762012122614      .","1      ."
"Cilium and associated proteins - Stereociliary proteins","0.345762012122614      .","1      ."
"Minor spliceosome components","0.345762012122614      .","1      ."
"Cofactors and vitamin metabolism - Riboflavin metabolism","0.345762012122614      .","1      ."
"Transcription factors - Other zf","0.345762012122614      .","1      ."
"SLC15: Proton oligopeptide cotransporter","0.358569750296157      .","1      ."
"Transcription factors - C2H2","0.358569750296157      .","1      ."
"Protein - SNAP-25[C] (Qc)","0.371538573901961      .","1      ."
"Protein - Syntaxin (Qa)","0.371538573901961      .","1      ."
"Protein - VAMP, Ykt6, Sec22 (R)","0.371538573901961      .","1      ."
"Transcription - Spliceosome","0.371538573901961      .","1      ."
"Common spliceosomal components","0.397904584259509      .","1      ."
"Mitochondrial respiratory chain complex assembly factors","0.397904584259509      .","1      ."
"SLC39: Metal ion transporter","0.397904584259509      .","1      ."
"Lipid metabolism - Fatty acid metabolism","0.397904584259509      .","1      ."
"Biosynthesis of various plant secondary metabolites","0.411273100716908      .","1      ."
"Carotenoid biosynthesis","0.411273100716908      .","1      ."
"Carbohydrate metabolism - Nucleotide sugars metabolism","0.411273100716908      .","1      ."
"Lysine degradation","0.438306301660423      .","1      ."
"Pentose phosphate pathway","0.438306301660423      .","1      ."
"Outer membrane","0.451939983446422      .","1      ."
"Transcription factors - Zinc finger","0.451939983446422      .","1      ."
"Glycine serine and threonine metabolism","0.465630585093419      .","1      ."
"Messenger RNA Biogenesis - mRNA processing factors","0.465630585093419      .","1      ."
"Photosynthesis protein - Photosynthetic electron transport","0.479361989218405      .","1      ."
"Transport and catabolism - Regulation of autophagy","0.479361989218405      .","1      ."
"Valine leucine and isoleucine biosynthesis","0.493117933177292      .","1      ."
"Electrochemical potential-driven transporters [TC:2]","0.493117933177292      .","1      ."
"Enzyme - Class I","0.493117933177292      .","1      ."
"Sugar transporters","0.493117933177292      .","1      ."
"Lipid metabolism - Ether lipid metabolism","0.493117933177292      .","1      ."
"Proteasome","0.506882066822708      .","1      ."
"Transcription factors - CCAAT","0.506882066822708      .","1      ."
"Transcription factors - TCP","0.506882066822708      .","1      ."
"Transporter catalog - Porters cat 30 to 64","0.506882066822708      .","1      ."
"Phosphatidylinositol signaling system","0.520638010781595      .","1      ."
"Glycan biosynthesis and metabolism - N-Glycan biosynthesis","0.520638010781595      .","1      ."
"Transcription factors - HMG","0.520638010781595      .","1      ."
"Transcription factors - Other zf-C3HC4","0.520638010781595      .","1      ."
"Selenocompound metabolism","0.534369414906581      .","1      ."
"Protein - Calcium ion-dependent exocytosis","0.534369414906581      .","1      ."
"Biosynthesis of secondary metabolism - ABA biosynthesis","0.534369414906581      .","1      ."
"Folding sorting degradation - Proteasome","0.534369414906581      .","1      ."
"N-Glycan biosynthesis","0.548060016553578      .","1      ."
"Enzyme - 4.3  Carbon-nitrogen lyases","0.548060016553578      .","1      ."
"Protein - Lipid raft mediated endocytosis","0.548060016553578      .","1      ."
"Ubiquitin system - Ubiquitin-conjugating enzymes","0.548060016553578      .","1      ."
"Cofactors and vitamin metabolism - Ubiquinone biosynthesis","0.548060016553578      .","1      ."
"Transport and catabolism - Phagosome","0.548060016553578      .","1      ."
"Enzyme - 4.2  Carbon-oxygen lyases","0.561693698339577      .","1      ."
"U1 snRNP components","0.561693698339577      .","1      ."
"Sulfur metabolism","0.575254545038865      .","1      ."
"Transport system - Thylakoid targeting pathway","0.575254545038865      .","1      ."
"Fatty acid elongation","0.588726899283092      .","1      ."
"Lipid metabolism - Biosynthesis of steroids","0.588726899283092      .","1      ."
"Cutin suberine and wax biosynthesis","0.615345113462117      .","1      ."
"Plant hormone signal transduction","0.615345113462117      .","1      ."
"Ribosome biogenesis - Pre-60S particles","0.615345113462117      .","1      ."
"RNA polymerase III system","0.615345113462117      .","1      ."
"Lipid metabolism - Biosynthesis of unsaturated fatty acids","0.615345113462117      .","1      ."
"Lipid biosynthesis protein - Component type","0.628461426098039      .","1      ."
"Lipid metabolism - Fatty acid biosynthesis","0.628461426098039      .","1      ."
"Glycerophospholipid metabolism","0.641430249703843      .","1      ."
"Amino acid metabolism - Glutamate metabolism","0.641430249703843      .","1      ."
"Energy metabolism - Photosynthesis","0.641430249703843      .","1      ."
"Transcription factors - C2C2-GATA","0.641430249703843      .","1      ."
"Transcription factors - HSF","0.641430249703843      .","1      ."
"Purine metabolism","0.654237987877386      .","1      ."
"Viral life cycle - HIV-1","0.654237987877386      .","1      ."
"Enzyme - 4.1  Carbon-carbon lyases","0.654237987877386      .","1      ."
"Glycosyltransferase - Structural polysaccharide","0.654237987877386      .","1      ."
"Protein - Macropinocytosis","0.654237987877386      .","1      ."
"Amino sugar and nucleotide sugar metabolism","0.666871593987333      .","1      ."
"One carbon pool by folate","0.666871593987333      .","1      ."
"Phagosome","0.666871593987333      .","1      ."
"Aquaporins and small neutral solute transporters [TC:1.A.8]","0.666871593987333      .","1      ."
"Protein - Autophagosome formation proteins","0.666871593987333      .","1      ."
"Repair protein - SSBR (single strand breaks repair)","0.666871593987333      .","1      ."
"Cell growth and death - Cell wall","0.666871593987333      .","1      ."
"Translation - RNA transport","0.666871593987333      .","1      ."
"Ubiquinone and other terpenoid-quinone biosynthesis","0.679318610278284      .","1      ."
"Enzyme - 2.6  Transferring nitrogenous groups","0.679318610278284      .","1      ."
"Enzyme - 3.1  Acting on ester bonds","0.679318610278284      .","1      ."
"Transcription factors - Basic helix-loop-helix (bHLH)","0.679318610278284      .","1      ."
"Amino acid metabolism - Histidine metabolism","0.679318610278284      .","1      ."
"Replication and repair - Sulfur relay system","0.679318610278284      .","1      ."
"Biosynthesis of unsaturated fatty acids","0.691567203662135      .","1      ."
"Ether lipid metabolism","0.691567203662135      .","1      ."
"Transporter catalog - Porters cat 1 to 6","0.691567203662135      .","1      ."
"Zeatin biosynthesis","0.703606198031364      .","1      ."
"Exosome - Exosomal proteins of colorectal cancer cells","0.703606198031364      .","1      ."
"Nucleotide metabolism - Purine metabolism","0.703606198031364      .","1      ."
"Inositol phosphate metabolism","0.715425102956988      .","1      ."
"Channel - Cyclic nucleotide-gated channel (CNG)","0.715425102956988      .","1      ."
"Cytoskeleton - Microtubules","0.715425102956988      .","1      ."
"Lipid metabolism - Glycerophospholipid metabolism","0.715425102956988      .","1      ."
"Fatty acid biosynthesis","0.72701413866172      .","1      ."
"Porphyrin metabolism","0.72701413866172      .","1      ."
"Replication protein - DNA Replication Termination Factors","0.72701413866172      .","1      ."
"Cell motility - Regulation of actin cytoskeleton","0.72701413866172      .","1      ."
"Hormone signaling - Auxin signaling","0.72701413866172      .","1      ."
"Enzyme - 2.1  Transferring one-carbon groups","0.738364257187035      .","1      ."
"Exosome - Exosomal proteins of breast milk","0.738364257187035      .","1      ."
"Kinase - CDK family","0.738364257187035      .","1      ."
"Energy metabolism - Sulfur metabolism","0.738364257187035      .","1      ."
"Signal transduction - mTOR signaling pathway","0.738364257187035      .","1      ."
"Phenylalanine tyrosine and tryptophan biosynthesis","0.749467159701272      .","1      ."
"SLC47: Multidrug and Toxin Extrusion (MATE) family","0.749467159701272      .","1      ."
"Glycan biosynthesis and metabolism - N-Glycan degradation","0.749467159701272      .","1      ."
"Translation - mRNA surveillance pathway","0.749467159701272      .","1      ."
"Inner mambrane","0.760315309924174      .","1      ."
"Messenger RNA Biogenesis - mRNA degradation factors","0.760315309924174      .","1      ."
"Peptidases and inhibitors - Family S10","0.760315309924174      .","1      ."
"Carbohydrate metabolism - Pentose phosphate","0.760315309924174      .","1      ."
"Transcription factors - SBP","0.760315309924174      .","1      ."
"Arginine biosynthesis","0.770901943671178      .","1      ."
"Pentose and glucuronate interconversions","0.770901943671178      .","1      ."
"Enzyme - 2.2  Transferring aldehyde or ketonic groups","0.781221074548079      .","1      ."
"Enzyme - 2.4  Glycosyltransferases","0.781221074548079      .","1      ."
"Biosynthesis of secondary metabolism - Auxin biosynthesis","0.781221074548079      .","1      ."
"Transporter catalog - Transport electron carriers","0.781221074548079      .","1      ."
"Isoquinoline alkaloid biosynthesis","0.791267495853147      .","1      ."
"Photosynthesis","0.791267495853147      .","1      ."
"Mitochondrial dynamics","0.791267495853147      .","1      ."
"Matrix","0.801036778769094      .","1      ."
"RNA polymerase II system","0.801036778769094      .","1      ."
"Energy metabolism - Photosynthesis antenna proteins","0.801036778769094      .","1      ."
"Transcription factors - Jumonji","0.801036778769094      .","1      ."
"DNA replication","0.810525266951361      .","1      ."
"Photosynthesis - antenna proteins","0.810525266951361      .","1      ."
"Peptidases and inhibitors - Family A1: pepsin family","0.810525266951361      .","1      ."
"Autophagy - other","0.819730067641749      .","1      ."
"Base excision repair","0.819730067641749      .","1      ."
"mRNA surveillance pathway","0.819730067641749      .","1      ."
"Tyrosine metabolism","0.819730067641749      .","1      ."
"Photosynthesis protein - Photosystem I (P700 chlorophyll a)","0.819730067641749      .","1      ."
"Replication and repair - Base excision repair","0.819730067641749      .","1      ."
"Transporter catalog - Group translocators","0.819730067641749      .","1      ."
"Biotin metabolism","0.828649039457275      .","1      ."
"Various types of N-glycan biosynthesis","0.828649039457275      .","1      ."
"Enzyme - 1.3  Acting on the CH-CH group of donors","0.828649039457275      .","1      ."
"Enzyme - 1.5  Acting on the CH-NH group of donors","0.828649039457275      .","1      ."
"Enzyme - 6.3  Forming carbon-nitrogen bonds","0.828649039457275      .","1      ."
"Cell growth and death - Cell cycle","0.828649039457275      .","1      ."
"Replication and repair - DNA replication","0.837280777023228      .","1      ."
"RNA degradation","0.845624592636522      .","1      ."
"RNA polymerase","0.845624592636522      .","1      ."
"Enzyme - 3.6  Acting on acid anhydrides","0.845624592636522      .","1      ."
"Ubiquitin system - Single Ring-finger type E3","0.845624592636522      .","1      ."
"Mismatch repair","0.853680495160499      .","1      ."
"Glycosyltransferase - Dol-linked oligosaccharide","0.853680495160499      .","1      ."
"Proteasome - Regulatory particles","0.853680495160499      .","1      ."
"Carbohydrate metabolism - Glycolysis","0.853680495160499      .","1      ."
"Homologous recombination","0.861449166365308      .","1      ."
"Other glycan degradation","0.861449166365308      .","1      ."
"Propanoate metabolism","0.861449166365308      .","1      ."
"Ubiquitin mediated proteolysis","0.861449166365308      .","1      ."
"Enzyme - 3.2  Glycosylases","0.861449166365308      .","1      ."
"Carbohydrate metabolism - Starch and sucrose metabolism","0.861449166365308      .","1      ."
"Hormone transport - Auxin transport","0.861449166365308      .","1      ."
"Lipid metabolism - Sphingolipid metabolism","0.861449166365308      .","1      ."
"Phenylalanine metabolism","0.868931934938759      .","1      ."
"ABCB (MDR/TAP) subfamily","0.868931934938759      .","1      ."
"Enzyme - 2.3  Acyltransferases","0.868931934938759      .","1      ."
"Pyrimidine metabolism","0.876130748401127      .","1      ."
"Enzyme - 6.2  Forming carbon-sulfur bonds","0.876130748401127      .","1      ."
"Exosome - Exosomal proteins of breast cancer cells","0.876130748401127      .","1      ."
"Replication protein - DNA Replication Initiation Factors","0.883048143163717      .","1      ."
"Replication and repair - RNA degradation","0.883048143163717      .","1      ."
"Basal transcription factors","0.889687212975232      .","1      ."
"Protein - SNARE associated proteins","0.889687212975232      .","1      ."
"Transcription - Basal transcription factors","0.889687212975232      .","1      ."
"Transcription - RNA polymerase","0.889687212975232      .","1      ."
"Transporter catalog - Porters cat 66 to 94","0.889687212975232      .","1      ."
"Aminoacyl-tRNA synthetases (AARSs)","0.896051576001945      .","1      ."
"Cytoskeleton - Actin filaments / Microfilaments","0.896051576001945      .","1      ."
"Exosome - Exosomal proteins of bladder cancer cells","0.896051576001945      .","1      ."
"Mitochondrial transcription and translation factors","0.896051576001945      .","1      ."
"Spliceosome associated proteins (SAPs)","0.896051576001945      .","1      ."
"Transport and catabolism - Peroxisome","0.896051576001945      .","1      ."
"Chaperone - HSP60 / Chaperonin","0.902145340787673      .","1      ."
"Enzyme - 5.4  Intramolecular transferases","0.902145340787673      .","1      ."
"Hormone signaling - Gibberellin signaling","0.902145340787673      .","1      ."
"Translation factors - Release factors","0.907973071337447      .","1      ."
"Nucleotide excision repair","0.913539751564843      .","1      ."
"Kinase - IRAK family","0.913539751564843      .","1      ."
"Transcription factors - GRF","0.918850749337146      .","1      ."
"Ribosome biogenesis in eukaryotes","0.923911780345139      .","1      ."
"Steroid biosynthesis","0.923911780345139      .","1      ."
"SLC35: Nucleoside-sugar transporter","0.923911780345139      .","1      ."
"Chromosome and associated proteins - Gene silencing","0.928728872015369      .","1      ."
"Amino acid metabolism - Cysteine metabolism","0.928728872015369      .","1      ."
"Transcription factors - Other zf-DHHC","0.928728872015369      .","1      ."
"Translation - Aminoacyl-tRNA biosynthesis","0.928728872015369      .","1      ."
"Ubiquitin system - Ubiquitin-specific proteases (UBPs)","0.933308327672427      .","1      ."
"Replication and repair - Nucleotide excision repair","0.933308327672427      .","1      ."
"Signal transduction - Phosphatidylinositol signaling system","0.933308327672427      .","1      ."
"Aminoacyl-tRNA biosynthesis","0.937656691147311      .","1      ."
"Protein - Small GTPases and associated proteins","0.937656691147311      .","1      ."
"Translation - Ribosome biogenesis in Eukaryotes","0.937656691147311      .","1      ."
"Protein - Actin-binding proteins","0.941780712015355      .","1      ."
"Ribosome biogenesis - 90S particles","0.941780712015355      .","1      ."
"Amino acid metabolism - Lysine biosynthesis","0.941780712015355      .","1      ."
"Nucleocytoplasmic transport","0.945687311633814      .","1      ."
"Primary active transporters [TC:3]","0.945687311633814      .","1      ."
"Proteins involved in snRNP biogenesis","0.945687311633814      .","1      ."
"tRNA modification factors","0.945687311633814      .","1      ."
"Transport system - Protein coat","0.94938355013503      .","1      ."
"Enzyme - 6.1  Forming carbon-oxygen bonds","0.95287659451645      .","1      ."
"Ubiquitin system - Multi subunit Ring-finger type E3","0.95287659451645      .","1      ."
"Transcription factors - PHD","0.956173687953677      .","1      ."
"Transport system - Nuclear pore complex","0.956173687953677      .","1      ."
"Protein - Tethering complex","0.959282120447506      .","1      ."
"Ribosome biogenesis - Pre-40S particles","0.959282120447506      .","1      ."
"Biosynthesis of secondary metabolism - Zeatin biosynthesis","0.959282120447506      .","1      ."
"Carbohydrate metabolism - Inositol phosphate metabolism","0.959282120447506      .","1      ."
"Transcription factors - Orphans FAR-RED","0.959282120447506      .","1      ."
"Repair protein - Check point factors","0.962209200900482      .","1      ."
"Transcription factors - FHA","0.964962230703329      .","1      ."
"Plant specific signaling - Circadian rhythm","0.967548478896474      .","1      ."
"Transcription factors - MADS","0.967548478896474      .","1      ."
"Enzyme - 2.7  Transferring phosphorus-containing groups","0.969975158957235      .","1      ."
"Replication and repair - Homologous recombination","0.969975158957235      .","1      ."
"Transcription factors - C3H","0.969975158957235      .","1      ."
"Enzyme - Class II (C/G)","0.972249407248964      .","1      ."
"Circadian rhythm - plant","0.976368650905265      .","1      ."
"Protein - Mitophagy","0.976368650905265      .","1      ."
"Transcription factors - MTERF","0.976368650905265      .","1      ."
"Enzyme - 3.4  Acting on peptide bonds (peptidases)","0.978227363097979      .","1      ."
"Transporter catalog - Porters cat 7 to 17","0.978227363097979      .","1      ."
"Transcription factors - C2C2-CO","0.979961045893599      .","1      ."
"Replication and repair - Mismatch repair","0.983079098462441      .","1      ."
"Transporter catalog - Porters cat 18 to 29","0.983079098462441      .","1      ."
"Cofactors and vitamin metabolism - Thiamine metabolism","0.984475918056518      .","1      ."
"Transcription factors - ARF","0.985772589499364      .","1      ."
"Transcription factors - SET PCG","0.985772589499364      .","1      ."
"Hormone signaling - Cytokinin signaling","0.986974861154039      .","1      ."
"Transcription factors - SNF2","0.988088279323017      .","1      ."
"Other amino acids metabolism - Selenoamino acid metabolism","0.989118184008162      .","1      ."
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","0.990069705928641      .","1      ."
"Starch and sucrose metabolism","0.990069705928641      .","1      ."
"Nucleotide metabolism - Pyrimidine metabolism","0.990069705928641      .","1      ."
"Plant specific signaling - Flower development","0.990069705928641      .","1      ."
"Sphingolipid metabolism","0.990947764720222      .","1      ."
"Thiamine metabolism","0.991757068237016      .","1      ."
"Amino acid metabolism - Tyrosine metabolism","0.992502112875202      .","1      ."
