"gene set","p-value","fdr"
"Protein - Forward pathways","0.0811492506628545      .","0.889901515197137      ."
"GTP-binding proteins - Arf/Sar Family","0.0864602484351567      .","0.889901515197137      ."
"Plant-pathogen interaction","0.0920269286625526      .","0.889901515197137      ."
"Protein - Autophagosome formation proteins","0.0978546592123271      .","0.889901515197137      ."
"Transcription factors - GNAT","0.103948423998055      .","0.889901515197137      ."
"Citrate cycle (TCA cycle)","0.110312787024768      .","0.889901515197137      ."
"Enzyme - 2.7  Transferring phosphorus-containing groups","0.110312787024768      .","0.889901515197137      ."
"Protein - Mitophagy","0.110312787024768      .","0.889901515197137      ."
"Oxidative phosphorylation","0.116951856836283      .","0.889901515197137      ."
"Inner mambrane","0.116951856836283      .","0.889901515197137      ."
"Transport and catabolism - Regulation of autophagy","0.116951856836283      .","0.889901515197137      ."
"Transport and catabolism - Peroxisome","0.123869251598873      .","0.889901515197137      ."
"Enzyme - 2.6  Transferring nitrogenous groups","0.131068065061241      .","0.889901515197137      ."
"Amino acid metabolism - Lysine biosynthesis","0.131068065061241      .","0.889901515197137      ."
"Lipid metabolism - Alpha-linolenic acid metabolism","0.131068065061241      .","0.889901515197137      ."
"Plant specific signaling - Plant-pathogen interaction","0.131068065061241      .","0.889901515197137      ."
"alpha-Linolenic acid metabolism","0.138550833634692      .","0.999999999999995      ."
"Carotenoid biosynthesis","0.138550833634692      .","0.999999999999995      ."
"Nitrogen metabolism","0.138550833634692      .","0.999999999999995      ."
"Purine metabolism","0.138550833634692      .","0.999999999999995      ."
"Tyrosine metabolism","0.146319504839501      .","1      ."
"Enzyme - 1.1  Acting on the CH-OH group of donors","0.146319504839501      .","1      ."
"Biosynthesis of secondary metabolism - Auxin biosynthesis","0.146319504839501      .","1      ."
"Protein - Actin-binding proteins","0.154375407363478      .","1      ."
"U2 snRNP components","0.162719222976772      .","1      ."
"Lipid metabolism - C21-Steroid hormone metabolism","0.162719222976772      .","1      ."
"Transcription factors - NAC","0.162719222976772      .","1      ."
"Transcription factors - Other zf-DHHC","0.162719222976772      .","1      ."
"SNARE interactions in vesicular transport","0.171350960542725      .","1      ."
"Ribosome biogenesis - Pre-40S particles","0.171350960542725      .","1      ."
"Transcription factors - C2H2","0.171350960542725      .","1      ."
"Transporter catalog - Channels and pores","0.171350960542725      .","1      ."
"Ubiquitin mediated proteolysis","0.180269932358251      .","1      ."
"Transcription factors - AUXIAA","0.180269932358251      .","1      ."
"U1 snRNP components","0.189474733048639      .","1      ."
"Transcription factors - C3H","0.189474733048639      .","1      ."
"RNA polymerase","0.198963221230906      .","1      ."
"Enzyme - 6.2  Forming carbon-sulfur bonds","0.198963221230906      .","1      ."
"Kinase - Wnk family","0.198963221230906      .","1      ."
"Carbohydrate metabolism - Nucleotide sugars metabolism","0.198963221230906      .","1      ."
"Energy metabolism - Oxidative phosphorylation","0.198963221230906      .","1      ."
"GTP-binding proteins - Rab Family","0.208732504146853      .","1      ."
"Protein - Retrieval pathways","0.229098056328822      .","1      ."
"Amino acid metabolism - Histidine metabolism","0.229098056328822      .","1      ."
"Various types of N-glycan biosynthesis","0.239684690075826      .","1      ."
"Protein - Syntaxin (Qa)","0.239684690075826      .","1      ."
"Carbohydrate metabolism - Ascorbate and aldarate metabolism","0.239684690075826      .","1      ."
"Stilbenoid diarylheptanoid and gingerol biosynthesis","0.250532840298728      .","1      ."
"Ubiquitin system - UBL-specific proteases (ULPs)","0.261635742812965      .","1      ."
"One carbon pool by folate","0.27298586133828      .","1      ."
"Phenylalanine metabolism","0.27298586133828      .","1      ."
"Ubiquitin system - Ubiquitin-conjugating enzymes","0.27298586133828      .","1      ."
"Proteins involved in snRNP biogenesis","0.284574897043012      .","1      ."
"Amino acid metabolism - Cysteine metabolism","0.284574897043012      .","1      ."
"Carbohydrate metabolism - Aminosugars metabolism","0.284574897043012      .","1      ."
"Transcription factors - HB","0.284574897043012      .","1      ."
"Phenylalanine tyrosine and tryptophan biosynthesis","0.320681389721716      .","1      ."
"Replication and repair - Nucleotide excision repair","0.320681389721716      .","1      ."
"Enzyme - 1.8  Acting on a sulfur group of donors","0.333128406012667      .","1      ."
"Ubiquitin system - Ubiquitin-specific proteases (UBPs)","0.333128406012667      .","1      ."
"MAPK signaling pathway - plant","0.358569750296157      .","1      ."
"Protein - SNAP-25[C] (Qc)","0.371538573901961      .","1      ."
"Replication and repair - Sulfur relay system","0.371538573901961      .","1      ."
"Transporter catalog - Group translocators","0.371538573901961      .","1      ."
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","0.384654886537883      .","1      ."
"Amino acid metabolism - Methionine metabolism","0.384654886537883      .","1      ."
"Carbohydrate metabolism - Glycolysis","0.397904584259509      .","1      ."
"Arginine biosynthesis","0.411273100716908      .","1      ."
"Matrix","0.411273100716908      .","1      ."
"Mitochondrial respiratory chain complex assembly factors","0.411273100716908      .","1      ."
"Transcription factors - Helix-turn-helix","0.411273100716908      .","1      ."
"Lipid metabolism - Fatty acid metabolism","0.411273100716908      .","1      ."
"Nucleotide metabolism - Purine metabolism","0.411273100716908      .","1      ."
"Transcription factors - Orphans FAR-RED","0.411273100716908      .","1      ."
"Protein - VAMP, Ykt6, Sec22 (R)","0.438306301660423      .","1      ."
"Energy metabolism - Methane metabolism","0.438306301660423      .","1      ."
"Transcription factors - Other zf-C3HC4","0.438306301660423      .","1      ."
"Enzyme - 4.3  Carbon-nitrogen lyases","0.451939983446422      .","1      ."
"Amino acid metabolism - Tyrosine metabolism","0.451939983446422      .","1      ."
"Ubiquinone and other terpenoid-quinone biosynthesis","0.465630585093419      .","1      ."
"Kinase - CDPK family","0.479361989218405      .","1      ."
"Other metabolism - Single reactions","0.479361989218405      .","1      ."
"Translation - Ribosome biogenesis in Eukaryotes","0.479361989218405      .","1      ."
"Basal transcription factors","0.493117933177292      .","1      ."
"Protein - Small GTPases and associated proteins","0.493117933177292      .","1      ."
"Ribosome - Eukaryotes","0.520638010781595      .","1      ."
"Secretion system - Eukaryotic Sec-SRP protein","0.520638010781595      .","1      ."
"Transcription factors - Zinc finger","0.520638010781595      .","1      ."
"Transcription - RNA polymerase","0.520638010781595      .","1      ."
"Transcription factors - TCP","0.520638010781595      .","1      ."
"Plant hormone signal transduction","0.534369414906581      .","1      ."
"Glycosyltransferase - Hydrophobic molecule","0.534369414906581      .","1      ."
"Spliceosome associated proteins (SAPs)","0.534369414906581      .","1      ."
"Glycerophospholipid metabolism","0.548060016553578      .","1      ."
"Ribosome biogenesis - Other ribosome biogenesis factors","0.548060016553578      .","1      ."
"Lipid metabolism - Glycerophospholipid metabolism","0.548060016553578      .","1      ."
"Enzyme - 1.11  Acting on a peroxide as acceptor","0.575254545038865      .","1      ."
"Cofactors and vitamin metabolism - Riboflavin metabolism","0.575254545038865      .","1      ."
"Nucleotide metabolism - Pyrimidine metabolism","0.588726899283092      .","1      ."
"Replication and repair - Mismatch repair","0.588726899283092      .","1      ."
"Sulfur metabolism","0.602095415740491      .","1      ."
"Chaperone - Protein disulfide isomerase","0.602095415740491      .","1      ."
"Replication and repair - RNA degradation","0.602095415740491      .","1      ."
"Transcription factors - SNF2","0.602095415740491      .","1      ."
"Transporter catalog - Primary active transporter cat D1","0.602095415740491      .","1      ."
"Enzyme - 2.3  Acyltransferases","0.615345113462117      .","1      ."
"Channel - Cyclic nucleotide-gated channel (CNG)","0.628461426098039      .","1      ."
"Ribosome","0.641430249703843      .","1      ."
"Ribosome biogenesis - 90S particles","0.641430249703843      .","1      ."
"SLC35: Nucleoside-sugar transporter","0.654237987877386      .","1      ."
"Nucleotide excision repair","0.666871593987333      .","1      ."
"Sulfur relay system","0.666871593987333      .","1      ."
"Transcription factors - FHA","0.666871593987333      .","1      ."
"Transcription factors - MYB","0.666871593987333      .","1      ."
"Ribosome biogenesis in eukaryotes","0.679318610278284      .","1      ."
"Transcription factors - PHD","0.679318610278284      .","1      ."
"Protein - Lipid raft mediated endocytosis","0.691567203662135      .","1      ."
"ABCB (MDR/TAP) subfamily","0.703606198031364      .","1      ."
"Transcription factors - SET PCG","0.703606198031364      .","1      ."
"Fructose and mannose metabolism","0.715425102956988      .","1      ."
"Minor spliceosome components","0.715425102956988      .","1      ."
"Translation - Ribosome","0.715425102956988      .","1      ."
"Transcription - Basal transcription factors","0.72701413866172      .","1      ."
"Enzyme - 5.4  Intramolecular transferases","0.738364257187035      .","1      ."
"Ribosome - Archaea","0.738364257187035      .","1      ."
"Energy metabolism - Carbon fixation","0.738364257187035      .","1      ."
"RNA polymerase I system","0.749467159701272      .","1      ."
"Transcription factors - ABI3VP1","0.749467159701272      .","1      ."
"tRNA modification factors","0.760315309924174      .","1      ."
"Transcription factors - BHLH","0.760315309924174      .","1      ."
"Enzyme - 1.5  Acting on the CH-NH group of donors","0.770901943671178      .","1      ."
"Transcription factors - CCAAT","0.770901943671178      .","1      ."
"Translation factors - Release factors","0.781221074548079      .","1      ."
"Enzyme - 4.1  Carbon-carbon lyases","0.791267495853147      .","1      ."
"Primary active transporters [TC:3]","0.791267495853147      .","1      ."
"Protein - Calcium ion-dependent exocytosis","0.791267495853147      .","1      ."
"Flavonoid biosynthesis","0.801036778769094      .","1      ."
"Protein - Macropinocytosis","0.801036778769094      .","1      ."
"Ubiquitin system - Multi subunit Ring-finger type E3","0.801036778769094      .","1      ."
"Ubiquitin system - Single Ring-finger type E3","0.801036778769094      .","1      ."
"Lipid metabolism - Fatty acid biosynthesis","0.801036778769094      .","1      ."
"Chromosome and associated proteins - Gene silencing","0.810525266951361      .","1      ."
"Enzyme - 1.17  Acting on CH or CH2 groups","0.810525266951361      .","1      ."
"Ether lipid metabolism","0.819730067641749      .","1      ."
"Mismatch repair","0.828649039457275      .","1      ."
"Pentose phosphate pathway","0.828649039457275      .","1      ."
"Lipid biosynthesis protein - Component type","0.828649039457275      .","1      ."
"Hormone signaling - Auxin signaling","0.828649039457275      .","1      ."
"Terpenoid backbone biosynthesis","0.837280777023228      .","1      ."
"Lipid metabolism - Ether lipid metabolism","0.837280777023228      .","1      ."
"Transcription factors - SWIB","0.837280777023228      .","1      ."
"Outer membrane","0.845624592636522      .","1      ."
"Plant specific signaling - Flower development","0.845624592636522      .","1      ."
"Enzyme - 4.2  Carbon-oxygen lyases","0.861449166365308      .","1      ."
"Exosome - Exosomal proteins of breast milk","0.861449166365308      .","1      ."
"Amino sugar and nucleotide sugar metabolism","0.868931934938759      .","1      ."
"Fatty acid elongation","0.868931934938759      .","1      ."
"Cofactors and vitamin metabolism - Ubiquinone biosynthesis","0.876130748401127      .","1      ."
"Enzyme - 2.1  Transferring one-carbon groups","0.883048143163717      .","1      ."
"Biosynthesis of various plant secondary metabolites","0.889687212975232      .","1      ."
"Aminoacyl-tRNA synthetases (AARSs)","0.889687212975232      .","1      ."
"Kinase - CDK family","0.889687212975232      .","1      ."
"Lipid metabolism - Sphingolipid metabolism","0.889687212975232      .","1      ."
"Translation - Aminoacyl-tRNA biosynthesis","0.889687212975232      .","1      ."
"Glycosyltransferase - Structural polysaccharide","0.896051576001945      .","1      ."
"Transcription factors - Trihelix","0.896051576001945      .","1      ."
"Enzyme - 5.3  Intramolecular oxidoreductases","0.902145340787673      .","1      ."
"Pyrimidine metabolism","0.907973071337447      .","1      ."
"Aquaporins and small neutral solute transporters [TC:1.A.8]","0.907973071337447      .","1      ."
"Amino acid metabolism - Phenylalanine metabolism","0.913539751564843      .","1      ."
"Cell growth and death - Cell wall","0.913539751564843      .","1      ."
"Transcription factors - MADS","0.913539751564843      .","1      ."
"Repair protein - Check point factors","0.918850749337146      .","1      ."
"Plant specific signaling - Circadian rhythm","0.918850749337146      .","1      ."
"Cutin suberine and wax biosynthesis","0.923911780345139      .","1      ."
"Cyanoamino acid metabolism","0.923911780345139      .","1      ."
"Enzyme - 2.8  Transferring sulfur-containing groups","0.928728872015369      .","1      ."
"Aminoacyl-tRNA biosynthesis","0.933308327672427      .","1      ."
"Enzyme - Class II (C/G)","0.933308327672427      .","1      ."
"Mitochondrial transcription and translation factors","0.933308327672427      .","1      ."
"Replication protein - DNA Replication Termination Factors","0.933308327672427      .","1      ."
"Ribosome - Mitochondria/ Chloroplast","0.933308327672427      .","1      ."
"Replication and repair - Homologous recombination","0.933308327672427      .","1      ."
"Enzyme - 6.1  Forming carbon-oxygen bonds","0.937656691147311      .","1      ."
"Amino acid metabolism - Glutamate metabolism","0.937656691147311      .","1      ."
"Circadian rhythm - plant","0.945687311633814      .","1      ."
"Sphingolipid metabolism","0.945687311633814      .","1      ."
"Steroid biosynthesis","0.945687311633814      .","1      ."
"Proteasome - Regulatory particles","0.945687311633814      .","1      ."
"Transcription factors - ARF","0.945687311633814      .","1      ."
"Enzyme - 6.3  Forming carbon-nitrogen bonds","0.94938355013503      .","1      ."
"Hormone signaling - Brassinosteroids signaling","0.94938355013503      .","1      ."
"Hormone transport - Auxin transport","0.94938355013503      .","1      ."
"Lipid metabolism - Biosynthesis of steroids","0.94938355013503      .","1      ."
"Enzyme - 3.4  Acting on peptide bonds (peptidases)","0.95287659451645      .","1      ."
"Exosome - Exosomal proteins of breast cancer cells","0.95287659451645      .","1      ."
"Transcription factors - SBP","0.95287659451645      .","1      ."
"Pentose and glucuronate interconversions","0.956173687953677      .","1      ."
"Carbohydrate metabolism - Fructose and mannose metabolism","0.956173687953677      .","1      ."
"Carbohydrate metabolism - Pentose phosphate","0.956173687953677      .","1      ."
"Carbohydrate metabolism - Starch and sucrose metabolism","0.956173687953677      .","1      ."
"Other amino acids metabolism - Selenoamino acid metabolism","0.956173687953677      .","1      ."
"Phenylpropanoid biosynthesis","0.959282120447506      .","1      ."
"Chaperone - HSP60 / Chaperonin","0.959282120447506      .","1      ."
"Enzyme - 2.2  Transferring aldehyde or ketonic groups","0.959282120447506      .","1      ."
"Selenocompound metabolism","0.962209200900482      .","1      ."
"Energy metabolism - Sulfur metabolism","0.962209200900482      .","1      ."
"Folding sorting degradation - Proteasome","0.962209200900482      .","1      ."
"Phagosome","0.964962230703329      .","1      ."
"Ribosome - Bacteria","0.964962230703329      .","1      ."
"Transport and catabolism - Phagosome","0.967548478896474      .","1      ."
"Other glycan degradation","0.969975158957235      .","1      ."
"Transcription factors - C2C2-GATA","0.969975158957235      .","1      ."
"Transporter catalog - Transport electron carriers","0.969975158957235      .","1      ."
"Photosynthesis - antenna proteins","0.972249407248964      .","1      ."
"Peptidases and inhibitors - Family A1: pepsin family","0.972249407248964      .","1      ."
"SLC15: Proton oligopeptide cotransporter","0.972249407248964      .","1      ."
"Energy metabolism - Photosynthesis antenna proteins","0.972249407248964      .","1      ."
"Hormone signaling - Cytokinin signaling","0.972249407248964      .","1      ."
"Exosome - Exosomal proteins of colorectal cancer cells","0.974378263154753      .","1      ."
"Photosynthesis protein - Photosynthetic electron transport","0.976368650905265      .","1      ."
"Lipid metabolism - Biosynthesis of unsaturated fatty acids","0.976368650905265      .","1      ."
"Transport system - Thylakoid targeting pathway","0.976368650905265      .","1      ."
"Proteasome","0.978227363097979      .","1      ."
"Starch and sucrose metabolism","0.978227363097979      .","1      ."
"Photosynthesis protein - Photosystem I (P700 chlorophyll a)","0.978227363097979      .","1      ."
"Homologous recombination","0.979961045893599      .","1      ."
"Biotin metabolism","0.981576185864767      .","1      ."
"Photosynthesis","0.981576185864767      .","1      ."
"Energy metabolism - Photosynthesis","0.981576185864767      .","1      ."
"Transcription factors - Basic helix-loop-helix (bHLH)","0.983079098462441      .","1      ."
"Replication and repair - Base excision repair","0.983079098462441      .","1      ."
"Chaperone - Peptidyl prolyl isomerase","0.984475918056518      .","1      ."
"Enzyme - 5.2  cis-trans-Isomerases","0.984475918056518      .","1      ."
"Kinase - IRAK family","0.985772589499364      .","1      ."
"Cell motility - Regulation of actin cytoskeleton","0.985772589499364      .","1      ."
"Cofactors and vitamin metabolism - Thiamine metabolism","0.985772589499364      .","1      ."
"Transcription factors - C2C2-CO","0.985772589499364      .","1      ."
"Biosynthesis of unsaturated fatty acids","0.986974861154039      .","1      ."
"Thiamine metabolism","0.986974861154039      .","1      ."
"Peptidases and inhibitors - Family T1: proteasome family","0.986974861154039      .","1      ."
"Proteasome - Core particles (20S proteasome)","0.986974861154039      .","1      ."
"DNA replication","0.988088279323017      .","1      ."
"Porphyrin metabolism","0.988088279323017      .","1      ."
"Peptidases and inhibitors - Family S10","0.988088279323017      .","1      ."
"Replication and repair - DNA replication","0.988088279323017      .","1      ."
"Exosome - Exosomal proteins of bladder cancer cells","0.989118184008162      .","1      ."
