"gene set","p-value","fdr"
"Hormone signaling - Auxin signaling","0.0811492506628545      .","0.608148468125821      ."
"Cyanoamino acid metabolism","0.0864602484351567      .","0.608148468125821      ."
"Vitamin B6 metabolism","0.0864602484351567      .","0.608148468125821      ."
"Transcription factors - GRF","0.0864602484351567      .","0.608148468125821      ."
"Chaperone - HSP60 / Chaperonin","0.0920269286625526      .","0.608148468125821      ."
"SLC35: Nucleoside-sugar transporter","0.0920269286625526      .","0.608148468125821      ."
"Enzyme - 6.3  Forming carbon-nitrogen bonds","0.0978546592123271      .","0.608148468125821      ."
"Transcription factors - Other zf-DHHC","0.0978546592123271      .","0.608148468125821      ."
"beta-Alanine metabolism","0.103948423998055      .","0.608148468125821      ."
"Enzyme - 4.4  Carbon-sulfur lyases","0.110312787024768      .","0.608148468125821      ."
"Matrix","0.110312787024768      .","0.608148468125821      ."
"Glycan biosynthesis and metabolism - N-Glycan degradation","0.110312787024768      .","0.608148468125821      ."
"Transporter catalog - Channels and pores","0.110312787024768      .","0.608148468125821      ."
"Glycolysis / Gluconeogenesis","0.116951856836283      .","0.608148468125821      ."
"Purine metabolism","0.116951856836283      .","0.608148468125821      ."
"Photosynthesis protein - Photosynthetic electron transport","0.116951856836283      .","0.608148468125821      ."
"Transcription factors - Basic helix-loop-helix (bHLH)","0.116951856836283      .","0.608148468125821      ."
"Ubiquitin system - UBL-specific proteases (ULPs)","0.116951856836283      .","0.608148468125821      ."
"Ubiquinone and other terpenoid-quinone biosynthesis","0.123869251598873      .","0.608148468125821      ."
"Enzyme - 1.8  Acting on a sulfur group of donors","0.123869251598873      .","0.608148468125821      ."
"Kinase - CDPK family","0.123869251598873      .","0.608148468125821      ."
"Tropane piperidine and pyridine alkaloid biosynthesis","0.131068065061241      .","0.608148468125821      ."
"Chromosome and associated proteins - Gene silencing","0.131068065061241      .","0.608148468125821      ."
"Replication and repair - Homologous recombination","0.131068065061241      .","0.608148468125821      ."
"Replication and repair - Nucleotide excision repair","0.131068065061241      .","0.608148468125821      ."
"Enzyme - 4.3  Carbon-nitrogen lyases","0.138550833634692      .","1      ."
"Peptidases and inhibitors - Family A1: pepsin family","0.138550833634692      .","1      ."
"Protein - Small GTPases and associated proteins","0.138550833634692      .","1      ."
"Cell growth and death - Cell wall","0.138550833634692      .","1      ."
"Folding sorting degradation - Protein export","0.138550833634692      .","1      ."
"Lipid metabolism - Sphingolipid metabolism","0.138550833634692      .","1      ."
"MAPK signaling pathway - plant","0.146319504839501      .","1      ."
"Aminoacyl-tRNA synthetases (AARSs)","0.154375407363478      .","1      ."
"Enzyme - 1.1  Acting on the CH-OH group of donors","0.162719222976772      .","1      ."
"Carbohydrate metabolism - Aminosugars metabolism","0.162719222976772      .","1      ."
"Transcription factors - CCAAT","0.171350960542725      .","1      ."
"Protein - Chaperone mediated autophagy (CMA)","0.180269932358251      .","1      ."
"Carbohydrate metabolism - Citrate cycle","0.189474733048639      .","1      ."
"ABCG (White) subfamily","0.198963221230906      .","1      ."
"Cofactors and vitamin metabolism - Ubiquinone biosynthesis","0.198963221230906      .","1      ."
"Translation - Aminoacyl-tRNA biosynthesis","0.198963221230906      .","1      ."
"Aminoacyl-tRNA biosynthesis","0.208732504146853      .","1      ."
"Histidine metabolism","0.208732504146853      .","1      ."
"Lipid metabolism - Alpha-linolenic acid metabolism","0.208732504146853      .","1      ."
"Other amino acids metabolism - Glutathione metabolism","0.208732504146853      .","1      ."
"Valine leucine and isoleucine biosynthesis","0.218778925451921      .","1      ."
"Enzyme - 1.4  Acting on the CH-NH2 group of donors","0.218778925451921      .","1      ."
"Glycosyltransferase - Structural polysaccharide","0.218778925451921      .","1      ."
"ABC transporters","0.229098056328822      .","1      ."
"Enzyme - 6.1  Forming carbon-oxygen bonds","0.239684690075826      .","1      ."
"Pores ion channels [TC:1]","0.239684690075826      .","1      ."
"Energy metabolism - Photosynthesis","0.250532840298728      .","1      ."
"Sulfur metabolism","0.261635742812965      .","1      ."
"Amino acid metabolism - Cysteine metabolism","0.261635742812965      .","1      ."
"Carbohydrate metabolism - Pentose phosphate","0.261635742812965      .","1      ."
"Hormone signaling - Brassinosteroids signaling","0.261635742812965      .","1      ."
"Plant-pathogen interaction","0.27298586133828      .","1      ."
"Common spliceosomal components","0.27298586133828      .","1      ."
"Biosynthesis of unsaturated fatty acids","0.284574897043012      .","1      ."
"Lipid metabolism - Biosynthesis of steroids","0.284574897043012      .","1      ."
"Ascorbate and aldarate metabolism","0.296393801968636      .","1      ."
"Kinase - IRAK family","0.296393801968636      .","1      ."
"U1 snRNP components","0.296393801968636      .","1      ."
"Energy metabolism - Methane metabolism","0.296393801968636      .","1      ."
"Pyruvate metabolism","0.333128406012667      .","1      ."
"Ubiquitin system - Ubiquitin-conjugating enzymes","0.333128406012667      .","1      ."
"Plant specific signaling - Plant-pathogen interaction","0.333128406012667      .","1      ."
"alpha-Linolenic acid metabolism","0.345762012122614      .","1      ."
"Linoleic acid metabolism","0.345762012122614      .","1      ."
"Porphyrin metabolism","0.345762012122614      .","1      ."
"Ubiquitin mediated proteolysis","0.345762012122614      .","1      ."
"ABCB (MDR/TAP) subfamily","0.345762012122614      .","1      ."
"Arginine and proline metabolism","0.371538573901961      .","1      ."
"Nitrogen metabolism","0.371538573901961      .","1      ."
"Cytoskeleton - Actin filaments / Microfilaments","0.371538573901961      .","1      ."
"Protein - Retrieval pathways","0.371538573901961      .","1      ."
"Lipid metabolism - C21-Steroid hormone metabolism","0.371538573901961      .","1      ."
"Replication and repair - Mismatch repair","0.371538573901961      .","1      ."
"SNARE interactions in vesicular transport","0.384654886537883      .","1      ."
"U4/U6.U5 tri-snRNP components","0.384654886537883      .","1      ."
"Amino acid metabolism - Arginine and proline metabolism","0.384654886537883      .","1      ."
"Translation - RNA transport","0.384654886537883      .","1      ."
"Galactose metabolism","0.397904584259509      .","1      ."
"Pantothenate and CoA biosynthesis","0.397904584259509      .","1      ."
"Cofactors and vitamin metabolism - Vitamin B6 metabolism","0.397904584259509      .","1      ."
"Lipid metabolism - Fatty acid elongation in mitochondria","0.397904584259509      .","1      ."
"Transcription factors - AS2","0.397904584259509      .","1      ."
"Arginine biosynthesis","0.411273100716908      .","1      ."
"Ether lipid metabolism","0.411273100716908      .","1      ."
"Protein - Tethering complex","0.411273100716908      .","1      ."
"Sugar transporters","0.411273100716908      .","1      ."
"Photosynthesis","0.424745454961135      .","1      ."
"Biosynthesis of secondary metabolism - Auxin biosynthesis","0.424745454961135      .","1      ."
"Phenylalanine metabolism","0.438306301660423      .","1      ."
"Amino acid metabolism - Phenylalanine metabolism","0.438306301660423      .","1      ."
"Energy metabolism - Nitrogen metabolism","0.438306301660423      .","1      ."
"Isoquinoline alkaloid biosynthesis","0.451939983446422      .","1      ."
"Enzyme - 5.2  cis-trans-Isomerases","0.465630585093419      .","1      ."
"Proteasome - Assembling factors","0.465630585093419      .","1      ."
"Amino acid metabolism - Alanine and aspartate metabolism","0.465630585093419      .","1      ."
"Transcription factors - HB","0.465630585093419      .","1      ."
"Tryptophan metabolism","0.479361989218405      .","1      ."
"Enzyme - 1.6  Acting on NADH or NADPH","0.506882066822708      .","1      ."
"Ribosome biogenesis - Other ribosome biogenesis factors","0.520638010781595      .","1      ."
"Carbohydrate metabolism - Pyruvate metabolism","0.520638010781595      .","1      ."
"Alanine aspartate and glutamate metabolism","0.534369414906581      .","1      ."
"Nucleocytoplasmic transport","0.534369414906581      .","1      ."
"Protein processing in endoplasmic reticulum","0.534369414906581      .","1      ."
"Spliceosome","0.534369414906581      .","1      ."
"Enzyme - 2.8  Transferring sulfur-containing groups","0.534369414906581      .","1      ."
"Glycan biosynthesis and metabolism - N-Glycan biosynthesis","0.534369414906581      .","1      ."
"Transcription factors - GNAT","0.534369414906581      .","1      ."
"Butanoate metabolism","0.548060016553578      .","1      ."
"Enzyme - 2.2  Transferring aldehyde or ketonic groups","0.548060016553578      .","1      ."
"Primary active transporters [TC:3]","0.548060016553578      .","1      ."
"Signal transduction - mTOR signaling pathway","0.548060016553578      .","1      ."
"Transcription factors - ZIM","0.548060016553578      .","1      ."
"Lipid metabolism - Ether lipid metabolism","0.561693698339577      .","1      ."
"Various types of N-glycan biosynthesis","0.575254545038865      .","1      ."
"tRNA modification factors","0.575254545038865      .","1      ."
"Transcription factors - MTERF","0.575254545038865      .","1      ."
"Enzyme - Class II (C/G)","0.588726899283092      .","1      ."
"Amino acid metabolism - Lysine biosynthesis","0.588726899283092      .","1      ."
"Transcription factors - BHLH","0.588726899283092      .","1      ."
"Chaperone - HSP70 / DNAK","0.602095415740491      .","1      ."
"Energy metabolism - Photosynthesis antenna proteins","0.602095415740491      .","1      ."
"Lysine degradation","0.615345113462117      .","1      ."
"Riboflavin metabolism","0.615345113462117      .","1      ."
"Enzyme - 2.3  Acyltransferases","0.615345113462117      .","1      ."
"Carbohydrate metabolism - Butanoate metabolism","0.615345113462117      .","1      ."
"Transporter catalog - Porters cat 30 to 64","0.615345113462117      .","1      ."
"Photosynthesis - antenna proteins","0.641430249703843      .","1      ."
"Amino acid metabolism - Histidine metabolism","0.641430249703843      .","1      ."
"Propanoate metabolism","0.654237987877386      .","1      ."
"Protein - Actin-binding proteins","0.654237987877386      .","1      ."
"Carbohydrate metabolism - Glycolysis","0.654237987877386      .","1      ."
"Other amino acids metabolism - Beta-alanine metabolism","0.654237987877386      .","1      ."
"Transcription factors - WRKY","0.654237987877386      .","1      ."
"Transporter catalog - Transport electron carriers","0.654237987877386      .","1      ."
"Photosynthesis protein - Photosystem I (P700 chlorophyll a)","0.666871593987333      .","1      ."
"Transcription factors - SNF2","0.666871593987333      .","1      ."
"Transcription factors - C2C2-DOF","0.679318610278284      .","1      ."
"Mitochondrial transcription and translation factors","0.691567203662135      .","1      ."
"Enzyme - 1.11  Acting on a peroxide as acceptor","0.715425102956988      .","1      ."
"SLC39: Metal ion transporter","0.715425102956988      .","1      ."
"Carbohydrate metabolism - Galactose metabolism","0.715425102956988      .","1      ."
"Exosome - Exosomal proteins of breast milk","0.72701413866172      .","1      ."
"Ribosome biogenesis in eukaryotes","0.738364257187035      .","1      ."
"Valine leucine and isoleucine degradation","0.738364257187035      .","1      ."
"Other amino acids metabolism - Selenoamino acid metabolism","0.738364257187035      .","1      ."
"Transcription factors - Trihelix","0.738364257187035      .","1      ."
"Amino acid metabolism - Tyrosine metabolism","0.749467159701272      .","1      ."
"Transcription - Spliceosome","0.760315309924174      .","1      ."
"N-Glycan biosynthesis","0.770901943671178      .","1      ."
"Starch and sucrose metabolism","0.770901943671178      .","1      ."
"Hormone signaling - Cytokinin signaling","0.770901943671178      .","1      ."
"Transcription factors - ARF","0.770901943671178      .","1      ."
"One carbon pool by folate","0.781221074548079      .","1      ."
"GTP-binding proteins - Arf/Sar Family","0.781221074548079      .","1      ."
"Messenger RNA Biogenesis - mRNA processing factors","0.781221074548079      .","1      ."
"Spliceosome associated proteins (SAPs)","0.781221074548079      .","1      ."
"RNA degradation","0.791267495853147      .","1      ."
"Sphingolipid metabolism","0.791267495853147      .","1      ."
"Electrochemical potential-driven transporters [TC:2]","0.801036778769094      .","1      ."
"Transcription factors - Basic leucine zipper (bZIP)","0.801036778769094      .","1      ."
"Ubiquitin system - Multi subunit Ring-finger type E3","0.801036778769094      .","1      ."
"Translation - Ribosome biogenesis in Eukaryotes","0.801036778769094      .","1      ."
"Mitochondrial respiratory chain complex assembly factors","0.810525266951361      .","1      ."
"Cofactors and vitamin metabolism - Thiamine metabolism","0.810525266951361      .","1      ."
"SLC47: Multidrug and Toxin Extrusion (MATE) family","0.819730067641749      .","1      ."
"Transport system - Tethering factors","0.819730067641749      .","1      ."
"Transcription factors - GRAS","0.828649039457275      .","1      ."
"Transport system - Nuclear pore complex","0.828649039457275      .","1      ."
"Carbohydrate metabolism - Propanoate metabolism","0.837280777023228      .","1      ."
"Transcription factors - SET PCG","0.837280777023228      .","1      ."
"Inner mambrane","0.845624592636522      .","1      ."
"Energy metabolism - Reductive carboxylate cycle","0.845624592636522      .","1      ."
"Transcription factors - BZIP","0.845624592636522      .","1      ."
"Peptidases and inhibitors - Family C1: papain family","0.853680495160499      .","1      ."
"Protein - Calcium ion-dependent exocytosis","0.853680495160499      .","1      ."
"Energy metabolism - Carbon fixation","0.853680495160499      .","1      ."
"Transporter catalog - Porters cat 1 to 6","0.853680495160499      .","1      ."
"Enzyme - 2.4  Glycosyltransferases","0.861449166365308      .","1      ."
"Transport system - Protein coat","0.861449166365308      .","1      ."
"Cutin suberine and wax biosynthesis","0.868931934938759      .","1      ."
"Terpenoid backbone biosynthesis","0.868931934938759      .","1      ."
"Endoplasmic reticulum membrane and cytosol","0.868931934938759      .","1      ."
"Translation factors - Release factors","0.868931934938759      .","1      ."
"SLC25: Mitochondrial carrier","0.876130748401127      .","1      ."
"Transcription factors - PHD","0.876130748401127      .","1      ."
"Thiamine metabolism","0.883048143163717      .","1      ."
"Protein - SNARE associated proteins","0.883048143163717      .","1      ."
"RNA polymerase","0.889687212975232      .","1      ."
"Enzyme - 7.1  Catalysing the translocation of hydrons","0.889687212975232      .","1      ."
"Protein - Clathrin-mediated endocytosis","0.889687212975232      .","1      ."
"Ribosome biogenesis - Pre-60S particles","0.889687212975232      .","1      ."
"Tyrosine metabolism","0.902145340787673      .","1      ."
"Transcription factors - Other transcription factors","0.902145340787673      .","1      ."
"Transcription factors - C2C2-CO","0.902145340787673      .","1      ."
"Transcription factors - HSF","0.902145340787673      .","1      ."
"Transcription factors - NAC","0.902145340787673      .","1      ."
"Carbon fixation in photosynthetic organisms","0.907973071337447      .","1      ."
"Enzyme - 6.2  Forming carbon-sulfur bonds","0.907973071337447      .","1      ."
"Other components","0.907973071337447      .","1      ."
"Enzyme - 2.6  Transferring nitrogenous groups","0.913539751564843      .","1      ."
"Signal transduction - Calcium signaling pathway","0.913539751564843      .","1      ."
"Glycerophospholipid metabolism","0.918850749337146      .","1      ."
"Mitochondrial dynamics","0.918850749337146      .","1      ."
"Protein - VAMP, Ykt6, Sec22 (R)","0.918850749337146      .","1      ."
"Enzyme - 1.2  Acting on the aldehyde or oxo group of donors","0.923911780345139      .","1      ."
"Transcription factors - AP2 EREBP","0.923911780345139      .","1      ."
"Transporter catalog - Porters cat 18 to 29","0.923911780345139      .","1      ."
"Enzyme - 4.1  Carbon-carbon lyases","0.928728872015369      .","1      ."
"Hormone signaling - Ethylene signaling","0.928728872015369      .","1      ."
"Replication and repair - RNA degradation","0.933308327672427      .","1      ."
"Zeatin biosynthesis","0.941780712015355      .","1      ."
"Ribosome biogenesis - 90S particles","0.941780712015355      .","1      ."
"Ribosome biogenesis - Pre-40S particles","0.941780712015355      .","1      ."
"Lipid metabolism - Glycerophospholipid metabolism","0.941780712015355      .","1      ."
"Replication and repair - Sulfur relay system","0.941780712015355      .","1      ."
"Nicotinate and nicotinamide metabolism","0.945687311633814      .","1      ."
"Viral life cycle - HIV-1","0.945687311633814      .","1      ."
"Receptor - Others","0.945687311633814      .","1      ."
"Biosynthesis of secondary metabolism - ABA biosynthesis","0.945687311633814      .","1      ."
"Enzyme - Class I","0.95287659451645      .","1      ."
"Amino acid metabolism - Glutamate metabolism","0.95287659451645      .","1      ."
"Transcription - RNA polymerase","0.95287659451645      .","1      ."
"Fatty acid degradation","0.956173687953677      .","1      ."
"Protein - SNAP-25[C] (Qc)","0.956173687953677      .","1      ."
"Transporter catalog - Porters cat 66 to 94","0.956173687953677      .","1      ."
"Membrane transport - ABC transporters","0.962209200900482      .","1      ."
"Circadian rhythm - plant","0.964962230703329      .","1      ."
"Endocytosis","0.964962230703329      .","1      ."
"Messenger RNA Biogenesis - mRNA degradation factors","0.967548478896474      .","1      ."
"Enzyme - 3.6  Acting on acid anhydrides","0.972249407248964      .","1      ."
"Minor spliceosome components","0.972249407248964      .","1      ."
"RNA polymerase III system","0.972249407248964      .","1      ."
"Biosynthesis of secondary metabolism - Zeatin biosynthesis","0.972249407248964      .","1      ."
"Lipid metabolism - Glycerolipid metabolism","0.974378263154753      .","1      ."
"Glyoxylate and dicarboxylate metabolism","0.978227363097979      .","1      ."
"mRNA surveillance pathway","0.978227363097979      .","1      ."
"Plant specific signaling - Flower development","0.981576185864767      .","1      ."
"Channel - Cyclic nucleotide-gated channel (CNG)","0.983079098462441      .","1      ."
"Kinase - Wnk family","0.983079098462441      .","1      ."
"Hormone signaling - ABA signaling","0.983079098462441      .","1      ."
"Transcription factors - C3H","0.983079098462441      .","1      ."
"Transporter catalog - Group translocators","0.983079098462441      .","1      ."
"Proteins involved in snRNP biogenesis","0.984475918056518      .","1      ."
"Cofactors and vitamin metabolism - Folate biosynthesis","0.984475918056518      .","1      ."
"Plant specific signaling - Circadian rhythm","0.984475918056518      .","1      ."
"Peroxisome","0.985772589499364      .","1      ."
"Sulfur relay system","0.985772589499364      .","1      ."
"RNA polymerase II system","0.986974861154039      .","1      ."
"Ubiquitin system - Single Ring-finger type E3","0.986974861154039      .","1      ."
"Transcription factors - FHA","0.986974861154039      .","1      ."
"Transport and catabolism - Peroxisome","0.986974861154039      .","1      ."
"Lipid metabolism - Fatty acid metabolism","0.989118184008162      .","1      ."
"Transcription - Basal transcription factors","0.989118184008162      .","1      ."
"Translation - mRNA surveillance pathway","0.989118184008162      .","1      ."
"Transcription factors - Other zf","0.990069705928641      .","1      ."
"Glycosyltransferase - Dol-linked oligosaccharide","0.990947764720222      .","1      ."
"Autophagy - other","0.991757068237016      .","1      ."
"Protein - Mitophagy","0.991757068237016      .","1      ."
"Protein - Autophagosome formation proteins","0.992502112875202      .","1      ."
"Basal transcription factors","0.993187184837451      .","1      ."
"Glycerolipid metabolism","0.993187184837451      .","1      ."
"Ubiquitin system - Ubiquitin-specific proteases (UBPs)","0.993187184837451      .","1      ."
"Transport and catabolism - Regulation of autophagy","0.993187184837451      .","1      ."
"Folate biosynthesis","0.993816362256696      .","1      ."
"Protein - Arf GTPases and associated proteins","0.993816362256696      .","1      ."
"SLC15: Proton oligopeptide cotransporter","0.994922323762093      .","1      ."
"Transcription factors - MYBrelated","0.994922323762093      .","1      ."
"Transcription factors - Other zf-C3HC4","0.994922323762093      .","1      ."
"Chaperone - HSP20","0.99540625330316      .","1      ."
"Mitophagy factors","0.99540625330316      .","1      ."
"Carotenoid biosynthesis","0.995848588201016      .","1      ."
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","0.995848588201016      .","1      ."
"Transcription factors - G2-like","0.995848588201016      .","1      ."
"Transcription factors - Jumonji","0.995848588201016      .","1      ."
"Inositol phosphate metabolism","0.996252422598747      .","1      ."
"Phosphatidylinositol signaling system","0.996620668945181      .","1      ."
"Protein - Other autophagy associated proteins","0.996620668945181      .","1      ."
"Transporter catalog - Porters cat 7 to 17","0.996620668945181      .","1      ."
"Chaperone - HSP40 / DNAJ","0.996956063972201      .","1      ."
"Enzyme - 3.1  Acting on ester bonds","0.996956063972201      .","1      ."
"Kinase - CAMKL family","0.996956063972201      .","1      ."
