"gene set","p-value","fdr"
"Carbohydrate metabolism - Glycolysis","0.296393801968636      .","1      ."
"Energy metabolism - Sulfur metabolism","0.296393801968636      .","1      ."
"Hormone signaling - Ethylene signaling","0.296393801968636      .","1      ."
"Glycosyltransferase - Dol-linked oligosaccharide","0.308432796337865      .","1      ."
"Protein - Forward pathways","0.308432796337865      .","1      ."
"Purine metabolism","0.320681389721716      .","1      ."
"Kinase - Wnk family","0.320681389721716      .","1      ."
"Transporter catalog - Porters cat 7 to 17","0.320681389721716      .","1      ."
"Ubiquitin system - UBL-specific proteases (ULPs)","0.333128406012667      .","1      ."
"Transcription factors - C2C2-DOF","0.333128406012667      .","1      ."
"Transcription factors - Jumonji","0.333128406012667      .","1      ."
"Translation - mRNA surveillance pathway","0.345762012122614      .","1      ."
"Phenylpropanoid biosynthesis","0.358569750296157      .","1      ."
"Valine leucine and isoleucine biosynthesis","0.358569750296157      .","1      ."
"Mitochondrial dynamics","0.358569750296157      .","1      ."
"Transcription factors - Other transcription factors","0.358569750296157      .","1      ."
"Transcription factors - AP2 EREBP","0.358569750296157      .","1      ."
"Glyoxylate and dicarboxylate metabolism","0.371538573901961      .","1      ."
"mRNA surveillance pathway","0.384654886537883      .","1      ."
"Enzyme - 4.4  Carbon-sulfur lyases","0.384654886537883      .","1      ."
"Transcription factors - Helix-turn-helix","0.384654886537883      .","1      ."
"Signal transduction - mTOR signaling pathway","0.397904584259509      .","1      ."
"RNA polymerase II system","0.411273100716908      .","1      ."
"Transport system - Protein coat","0.438306301660423      .","1      ."
"Replication and repair - Sulfur relay system","0.465630585093419      .","1      ."
"Enzyme - 4.1  Carbon-carbon lyases","0.479361989218405      .","1      ."
"Inositol phosphate metabolism","0.493117933177292      .","1      ."
"RNA polymerase I system","0.493117933177292      .","1      ."
"Basal transcription factors","0.534369414906581      .","1      ."
"Signal transduction - Phosphatidylinositol signaling system","0.548060016553578      .","1      ."
"ABC transporters","0.561693698339577      .","1      ."
"Protein - Mitophagy","0.561693698339577      .","1      ."
"Protein - Tethering complex","0.561693698339577      .","1      ."
"Ribosome biogenesis - Pre-60S particles","0.561693698339577      .","1      ."
"Transcription factors - ZIM","0.561693698339577      .","1      ."
"Cyanoamino acid metabolism","0.588726899283092      .","1      ."
"Nitrogen metabolism","0.588726899283092      .","1      ."
"Ubiquitin system - Multi subunit Ring-finger type E3","0.602095415740491      .","1      ."
"Protein - Syntaxin (Qa)","0.615345113462117      .","1      ."
"RNA polymerase III system","0.615345113462117      .","1      ."
"Transcription factors - AS2","0.615345113462117      .","1      ."
"Transcription factors - FHA","0.615345113462117      .","1      ."
"One carbon pool by folate","0.628461426098039      .","1      ."
"Protein - Actin-binding proteins","0.628461426098039      .","1      ."
"Other metabolism - Single reactions","0.628461426098039      .","1      ."
"Enzyme - 2.8  Transferring sulfur-containing groups","0.641430249703843      .","1      ."
"Enzyme - 5.3  Intramolecular oxidoreductases","0.641430249703843      .","1      ."
"Proteins involved in snRNP biogenesis","0.641430249703843      .","1      ."
"Ribosome biogenesis - Pre-40S particles","0.641430249703843      .","1      ."
"Amino acid metabolism - Phenylalanine metabolism","0.641430249703843      .","1      ."
"Glycerophospholipid metabolism","0.654237987877386      .","1      ."
"Cutin suberine and wax biosynthesis","0.666871593987333      .","1      ."
"Other amino acids metabolism - Selenoamino acid metabolism","0.666871593987333      .","1      ."
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","0.679318610278284      .","1      ."
"Enzyme - 1.17  Acting on CH or CH2 groups","0.679318610278284      .","1      ."
"Transcription - Basal transcription factors","0.679318610278284      .","1      ."
"RNA degradation","0.691567203662135      .","1      ."
"Messenger RNA Biogenesis - mRNA degradation factors","0.691567203662135      .","1      ."
"Replication and repair - Nucleotide excision repair","0.715425102956988      .","1      ."
"Proteasome","0.72701413866172      .","1      ."
"Cilium and associated proteins - Stereociliary proteins","0.72701413866172      .","1      ."
"Enzyme - 4.2  Carbon-oxygen lyases","0.72701413866172      .","1      ."
"Peptidases and inhibitors - Family T1: proteasome family","0.72701413866172      .","1      ."
"Proteasome - Core particles (20S proteasome)","0.72701413866172      .","1      ."
"Transcription factors - SNF2","0.72701413866172      .","1      ."
"Carbon fixation in photosynthetic organisms","0.738364257187035      .","1      ."
"Enzyme - 1.3  Acting on the CH-CH group of donors","0.738364257187035      .","1      ."
"Enzyme - 5.4  Intramolecular transferases","0.749467159701272      .","1      ."
"Enzyme - 7.1  Catalysing the translocation of hydrons","0.749467159701272      .","1      ."
"Nucleotide metabolism - Purine metabolism","0.749467159701272      .","1      ."
"Transcription factors - C3H","0.749467159701272      .","1      ."
"Biosynthesis of various plant secondary metabolites","0.760315309924174      .","1      ."
"Pentose phosphate pathway","0.760315309924174      .","1      ."
"Peptidases and inhibitors - Family C1: papain family","0.760315309924174      .","1      ."
"Proteasome - Regulatory particles","0.760315309924174      .","1      ."
"Biosynthesis of secondary metabolism - Zeatin biosynthesis","0.760315309924174      .","1      ."
"Exosome - Exosomal proteins of breast milk","0.770901943671178      .","1      ."
"Replication and repair - Homologous recombination","0.770901943671178      .","1      ."
"Transcription factors - HB","0.770901943671178      .","1      ."
"Amino sugar and nucleotide sugar metabolism","0.781221074548079      .","1      ."
"Carbohydrate metabolism - Inositol phosphate metabolism","0.781221074548079      .","1      ."
"Energy metabolism - Carbon fixation","0.781221074548079      .","1      ."
"Folding sorting degradation - Proteasome","0.781221074548079      .","1      ."
"Cytoskeleton - Actin filaments / Microfilaments","0.791267495853147      .","1      ."
"Spliceosome associated proteins (SAPs)","0.791267495853147      .","1      ."
"Transport system - Nuclear pore complex","0.791267495853147      .","1      ."
"Enzyme - 2.7  Transferring phosphorus-containing groups","0.801036778769094      .","1      ."
"Transcription factors - ABI3VP1","0.801036778769094      .","1      ."
"Circadian rhythm - plant","0.810525266951361      .","1      ."
"Nucleotide excision repair","0.810525266951361      .","1      ."
"Sulfur metabolism","0.810525266951361      .","1      ."
"SLC35: Nucleoside-sugar transporter","0.810525266951361      .","1      ."
"Lipid metabolism - Glycerophospholipid metabolism","0.810525266951361      .","1      ."
"RNA polymerase","0.819730067641749      .","1      ."
"Protein - Calcium ion-dependent exocytosis","0.819730067641749      .","1      ."
"Ubiquitin system - Ubiquitin-specific proteases (UBPs)","0.819730067641749      .","1      ."
"Nucleotide metabolism - Pyrimidine metabolism","0.819730067641749      .","1      ."
"Pyrimidine metabolism","0.828649039457275      .","1      ."
"Primary active transporters [TC:3]","0.837280777023228      .","1      ."
"Transcription factors - PHD","0.837280777023228      .","1      ."
"Transcription factors - SWIB","0.837280777023228      .","1      ."
"Ether lipid metabolism","0.845624592636522      .","1      ."
"Protein - Retrieval pathways","0.845624592636522      .","1      ."
"Nucleocytoplasmic transport","0.853680495160499      .","1      ."
"Enzyme - 2.1  Transferring one-carbon groups","0.853680495160499      .","1      ."
"Lipid metabolism - Ether lipid metabolism","0.853680495160499      .","1      ."
"Fatty acid elongation","0.861449166365308      .","1      ."
"Ribosome - Eukaryotes","0.861449166365308      .","1      ."
"Translation factors - Release factors","0.861449166365308      .","1      ."
"Plant specific signaling - Circadian rhythm","0.861449166365308      .","1      ."
"Transcription factors - HMG","0.868931934938759      .","1      ."
"Translation - Ribosome","0.868931934938759      .","1      ."
"Homologous recombination","0.876130748401127      .","1      ."
"Amino acid metabolism - Lysine biosynthesis","0.876130748401127      .","1      ."
"Transcription factors - SBP","0.876130748401127      .","1      ."
"Selenocompound metabolism","0.883048143163717      .","1      ."
"Transcription factors - MTERF","0.883048143163717      .","1      ."
"Enzyme - 2.4  Glycosyltransferases","0.889687212975232      .","1      ."
"Fatty acid biosynthesis","0.896051576001945      .","1      ."
"Ribosome biogenesis in eukaryotes","0.896051576001945      .","1      ."
"Ribosome","0.896051576001945      .","1      ."
"Ribosome - Bacteria","0.896051576001945      .","1      ."
"Carbohydrate metabolism - Nucleotide sugars metabolism","0.896051576001945      .","1      ."
"Translation - Aminoacyl-tRNA biosynthesis","0.896051576001945      .","1      ."
"Translation - Ribosome biogenesis in Eukaryotes","0.896051576001945      .","1      ."
"Mismatch repair","0.902145340787673      .","1      ."
"Mitochondrial transcription and translation factors","0.902145340787673      .","1      ."
"Replication protein - DNA Replication Initiation Factors","0.902145340787673      .","1      ."
"Cofactors and vitamin metabolism - Ubiquinone biosynthesis","0.902145340787673      .","1      ."
"Enzyme - 5.2  cis-trans-Isomerases","0.907973071337447      .","1      ."
"Ribosome - Archaea","0.913539751564843      .","1      ."
"Replication and repair - Mismatch repair","0.913539751564843      .","1      ."
"Transporter catalog - Channels and pores","0.913539751564843      .","1      ."
"Ribosome - Mitochondria/ Chloroplast","0.918850749337146      .","1      ."
"Transcription factors - Zinc finger","0.923911780345139      .","1      ."
"Energy metabolism - Methane metabolism","0.923911780345139      .","1      ."
"Replication and repair - RNA degradation","0.923911780345139      .","1      ."
"Ribosome biogenesis - 90S particles","0.928728872015369      .","1      ."
"U1 snRNP components","0.933308327672427      .","1      ."
"Replication and repair - DNA replication","0.933308327672427      .","1      ."
"Transcription factors - C2C2-CO","0.933308327672427      .","1      ."
"DNA replication","0.937656691147311      .","1      ."
"Outer membrane","0.937656691147311      .","1      ."
"Transcription - RNA polymerase","0.937656691147311      .","1      ."
"Enzyme - 1.11  Acting on a peroxide as acceptor","0.941780712015355      .","1      ."
"Lipid metabolism - Biosynthesis of steroids","0.941780712015355      .","1      ."
"Lipid metabolism - Biosynthesis of unsaturated fatty acids","0.941780712015355      .","1      ."
"Arginine biosynthesis","0.94938355013503      .","1      ."
"Biosynthesis of unsaturated fatty acids","0.94938355013503      .","1      ."
"Sphingolipid metabolism","0.94938355013503      .","1      ."
"Aminoacyl-tRNA synthetases (AARSs)","0.95287659451645      .","1      ."
"Chaperone - Peptidyl prolyl isomerase","0.95287659451645      .","1      ."
"Matrix","0.95287659451645      .","1      ."
"Transcription factors - AUXIAA","0.95287659451645      .","1      ."
"Fructose and mannose metabolism","0.959282120447506      .","1      ."
"Pentose and glucuronate interconversions","0.959282120447506      .","1      ."
"tRNA modification factors","0.959282120447506      .","1      ."
"Enzyme - Class II (C/G)","0.962209200900482      .","1      ."
"Transcription factors - SET PCG","0.962209200900482      .","1      ."
"Lipid biosynthesis protein - Component type","0.964962230703329      .","1      ."
"Carbohydrate metabolism - Pentose phosphate","0.964962230703329      .","1      ."
"Transcription factors - Other zf-DHHC","0.964962230703329      .","1      ."
"Aminoacyl-tRNA biosynthesis","0.967548478896474      .","1      ."
"Base excision repair","0.969975158957235      .","1      ."
"Carbohydrate metabolism - Fructose and mannose metabolism","0.969975158957235      .","1      ."
"Lipid metabolism - Fatty acid biosynthesis","0.969975158957235      .","1      ."
"Enzyme - 6.1  Forming carbon-oxygen bonds","0.972249407248964      .","1      ."
"Exosome - Exosomal proteins of breast cancer cells","0.972249407248964      .","1      ."
"Kinase - CDK family","0.972249407248964      .","1      ."
"Thiamine metabolism","0.974378263154753      .","1      ."
"Kinase - IRAK family","0.974378263154753      .","1      ."
"Hormone transport - Auxin transport","0.974378263154753      .","1      ."
"Enzyme - 4.3  Carbon-nitrogen lyases","0.976368650905265      .","1      ."
"Peptidases and inhibitors - Family S10","0.976368650905265      .","1      ."
"Transporter catalog - Transport electron carriers","0.976368650905265      .","1      ."
"Other glycan degradation","0.978227363097979      .","1      ."
"Plant hormone signal transduction","0.978227363097979      .","1      ."
"Plant specific signaling - Flower development","0.978227363097979      .","1      ."
"Enzyme - 3.4  Acting on peptide bonds (peptidases)","0.979961045893599      .","1      ."
"Protein - Macropinocytosis","0.979961045893599      .","1      ."
"Repair protein - Check point factors","0.979961045893599      .","1      ."
"Energy metabolism - Photosynthesis antenna proteins","0.979961045893599      .","1      ."
"Hormone signaling - Brassinosteroids signaling","0.979961045893599      .","1      ."
"Transcription factors - TCP","0.979961045893599      .","1      ."
"Transport system - Thylakoid targeting pathway","0.979961045893599      .","1      ."
"Photosynthesis protein - Photosystem I (P700 chlorophyll a)","0.981576185864767      .","1      ."
"Energy metabolism - Photosynthesis","0.981576185864767      .","1      ."
"Transcription factors - GRF","0.981576185864767      .","1      ."
"Photosynthesis - antenna proteins","0.983079098462441      .","1      ."
"Photosynthesis","0.983079098462441      .","1      ."
"Replication and repair - Base excision repair","0.983079098462441      .","1      ."
"Repair protein - SSBR (single strand breaks repair)","0.985772589499364      .","1      ."
"Enzyme - 3.2  Glycosylases","0.986974861154039      .","1      ."
"Enzyme - 6.3  Forming carbon-nitrogen bonds","0.986974861154039      .","1      ."
"Photosynthesis protein - Photosynthetic electron transport","0.986974861154039      .","1      ."
"Protein - Lipid raft mediated endocytosis","0.986974861154039      .","1      ."
"Cofactors and vitamin metabolism - Thiamine metabolism","0.986974861154039      .","1      ."
"Hormone signaling - Gibberellin signaling","0.986974861154039      .","1      ."
"Transcription factors - BHLH","0.986974861154039      .","1      ."
"Transcription factors - Basic helix-loop-helix (bHLH)","0.988088279323017      .","1      ."
"Porphyrin metabolism","0.989118184008162      .","1      ."
"Aquaporins and small neutral solute transporters [TC:1.A.8]","0.989118184008162      .","1      ."
"ABCB (MDR/TAP) subfamily","0.990069705928641      .","1      ."
"Chaperone - HSP60 / Chaperonin","0.990069705928641      .","1      ."
"Peptidases and inhibitors - Family A1: pepsin family","0.990069705928641      .","1      ."
"Glycosyltransferase - Structural polysaccharide","0.990947764720222      .","1      ."
"Cell growth and death - Cell cycle","0.990947764720222      .","1      ."
"Steroid biosynthesis","0.991757068237016      .","1      ."
"Enzyme - 2.2  Transferring aldehyde or ketonic groups","0.991757068237016      .","1      ."
"Transport and catabolism - Phagosome","0.993187184837451      .","1      ."
"Biotin metabolism","0.993816362256696      .","1      ."
"Carbohydrate metabolism - Starch and sucrose metabolism","0.993816362256696      .","1      ."
"Protein - Small GTPases and associated proteins","0.994393518098453      .","1      ."
"Replication protein - DNA Replication Termination Factors","0.994393518098453      .","1      ."
"Hormone signaling - Auxin signaling","0.994393518098453      .","1      ."
"Transcription factors - ARF","0.994393518098453      .","1      ."
"Starch and sucrose metabolism","0.994922323762093      .","1      ."
"Cell growth and death - Cell wall","0.99540625330316      .","1      ."
"Transcription factors - C2C2-GATA","0.99540625330316      .","1      ."
"Exosome - Exosomal proteins of bladder cancer cells","0.995848588201016      .","1      ."
"Hormone signaling - Cytokinin signaling","0.995848588201016      .","1      ."
"Exosome - Exosomal proteins of colorectal cancer cells","0.996252422598747      .","1      ."
"Cell motility - Regulation of actin cytoskeleton","0.996252422598747      .","1      ."
"Lipid metabolism - Sphingolipid metabolism","0.996252422598747      .","1      ."
